horizon,n_up,n_down,mean_up,mean_down,mean_diff,median_up,median_down,median_diff,std_up,std_down,p_pos_up,p_pos_down,p_pos_diff,boot_ci_lo,boot_ci_hi,boot_excludes_zero,cohens_d
15m,8826,9828,0.00019022625700429723,3.522413543883453e-05,0.0001550021215654627,-0.00015835702427047238,0.00046809355974009037,-0.0006264505840105627,0.0073166134251803515,0.009007564075889369,0.4886698391117154,0.5326617826617827,-0.04399194355006725,-5.38203898184187e-05,0.0003405493174486338,False,0.018889425696575257
30m,8823,9826,0.00023018848383585128,0.00027523665679392246,-4.5048172958071184e-05,-0.0001778641680196813,0.0006762476371138249,-0.0008541118051335062,0.009809864548538274,0.012267784855219132,0.48883599682647627,0.5364339507429269,-0.04759795391645061,-0.00040034068773208385,0.0002801009626566062,False,-0.004055827269132357
1h,8817,9822,0.0003104127530258763,0.0006462103726913095,-0.0003357976196654332,5.0739847447189845e-05,0.0010436031883918062,-0.0009928633409446164,0.013001605804516795,0.015468212500393005,0.5027787229216286,0.5511097536143351,-0.0483310306927065,-0.0008944378549385691,0.00024137783178961278,False,-0.02350168556512871
2h,8808,9805,0.0002130251850247993,0.0011054055563246975,-0.0008923803712998983,0.00014180235341498815,0.0015727435310193272,-0.001430941177604339,0.017296885812475297,0.019402898697151193,0.5055631244323342,0.5542070372259051,-0.04864391279357094,-0.0018048212078226851,7.661341537930836e-05,False,-0.04855149351616448
4h,8794,9773,0.00010852995375788805,0.0017326358236170176,-0.0016241058698591296,0.0002883627586349746,0.002406795701245912,-0.002118432942610937,0.022673214002619978,0.02586863220824859,0.5077325449169888,0.5643098332139568,-0.056577288296967954,-0.0031234452938812734,-7.56675427799545e-05,True,-0.06677118773514235
