horizon,mean_up,mean_down,diff,boot_ci_lo,boot_ci_hi
15m,0.00013729752657704546,-0.00012337105428300097,0.0002606685808600464,0.00022775189299892315,0.00029626039269026877
30m,0.00014767633317635536,-0.0001380747519481092,0.00028575108512446455,0.00021511183785055026,0.0003525115406196408
1h,0.00015911731646453198,-0.00014955952785911496,0.00030867684432364694,0.0001800186285113746,0.00044655534959925716
2h,0.0001958434166000112,-9.625138407228222e-05,0.00029209480067229345,5.259365073319626e-05,0.0005362836956231684
4h,0.00023075134877220048,-6.664632262302974e-05,0.00029739767139523024,-0.00012872437410959937,0.000740086554797645
