horizon,n_up,n_down,mean_up,mean_down,mean_diff,median_up,median_down,median_diff,std_up,std_down,p_pos_up,p_pos_down,p_pos_diff,boot_ci_lo,boot_ci_hi,boot_excludes_zero,cohens_d
15m,9979,11127,0.00014398850553235603,-2.2404996805325462e-07,0.00014421255550040927,-0.00013924798780351466,0.0004153191891287378,-0.0005545671769322524,0.00729718544124839,0.008894129235380887,0.49012927147008717,0.5272759953266828,-0.03714672385659562,-5.3381193699024664e-05,0.00032027272693816827,False,0.01772755316167118
30m,9976,11125,0.00016391913730531412,0.00019531818524312985,-3.1399047937815734e-05,-0.00015570325603864177,0.0005889604001243498,-0.0007446636561629916,0.00982985942414711,0.011987440706801748,0.49007618283881316,0.5318651685393259,-0.041788985700512704,-0.00037248956316860847,0.0002802290785412455,False,-0.0028643898014590295
1h,9969,11120,0.0002103012683529132,0.0004387895280422181,-0.00022848825968930492,4.633973594714291e-05,0.0009237447892145312,-0.0008774050532673883,0.013050396754821527,0.015467775932862478,0.5026582405456916,0.5445143884892086,-0.041856147943517,-0.0007873458676890478,0.0002883229027289746,False,-0.01596678573003332
2h,9960,11101,0.00011234051506199057,0.0007927196977249984,-0.0006803791826630078,0.0001230869047335048,0.0014554557026507098,-0.001332368797917205,0.017374939554671738,0.01958006191622859,0.5048192771084338,0.5491397171425998,-0.04432044003416602,-0.001590066855254778,0.00025194498836204736,False,-0.03675665611962046
4h,9940,11065,-0.00015530177716660404,0.0014619862776551803,-0.0016172880548217844,0.00020606901179309745,0.0022897471107565792,-0.0020836780989634818,0.022999787959120024,0.025929335805941544,0.5057344064386318,0.5609579755987347,-0.05522356916010296,-0.0031828807140149603,-1.0254586216506175e-06,True,-0.06598920499195728
