model,year,t,regime,close_t,close_t+15m,ret_15m,close_t+30m,ret_30m,close_t+1h,ret_1h,close_t+2h,ret_2h,close_t+4h,ret_4h
5m_hmm4,2018,2018-08-01 06:20:00+00:00,Ranging / Low-Vol,7536.19,7555.59,0.002570937382563391,7578.01,0.005533882934472149,7548.97,0.0016943808428332276,7612.74,0.010106410362181257,7541.99,0.0007693236565772908
5m_hmm4,2019,2019-07-02 14:55:00+00:00,Ranging / High-Vol,10542.99,10449.0,-0.00895490404575615,10478.0,-0.006183363111701966,10632.17,0.008423126651147967,10510.69,-0.003068349603624308,10725.0,0.017116280716350702
5m_hmm4,2020,2020-07-02 08:15:00+00:00,Ranging / Low-Vol,9197.24,9188.67,-0.0009322356761951155,9200.24,0.0003261316252650386,9211.0,0.0014949829601058852,9203.51,0.0006814939872197759,9194.2,-0.0003305885811753717
5m_hmm4,2021,2021-07-02 18:20:00+00:00,Ranging / Low-Vol,33357.88,33393.01,0.0010525703325721108,33382.26,0.0007305948439557756,33130.42,-0.006842132747369783,33174.0,-0.005527589726690032,33455.0,0.0029072259242392093
5m_hmm4,2022,2022-07-02 12:00:00+00:00,Downtrend / Mid-Vol,19158.77,19228.55,0.003635579501740913,19205.85,0.002454345886049466,19316.21,0.008184065528432177,19273.91,0.00599179367535983,19224.78,0.00343949765332482
5m_hmm4,2023,2023-07-02 15:10:00+00:00,Ranging / Low-Vol,30581.91,30470.05,-0.003664423719445658,30471.99,-0.00360075666791083,30552.01,-0.000978180440060724,30574.38,-0.00024625431130805556,30539.51,-0.0013874025440267525
5m_hmm4,2024,2024-07-02 00:00:00+00:00,Ranging / Low-Vol,62936.34,62828.01,-0.0017227461803333334,62942.38,9.596538643915809e-05,62906.38,-0.0004761499205681534,62952.86,0.00026245301574452233,63180.0,0.0038640560481290544
5m_hmm4,2025,2025-07-02 12:00:00+00:00,Ranging / Low-Vol,107473.55,107262.15,-0.0019689326767226996,107227.49,-0.0022921184520513197,107458.66,-0.00013855531494155954,107850.25,0.003498920085105137,108887.99,0.013074968410603273
5m_hmm4,2026,2026-04-10 11:45:00+00:00,Uptrend / Mid-Vol,72236.59,72178.93,-0.0007985291755886736,72177.8,-0.0008141848363952263,72401.95,0.0022865285012523802,72292.21,0.0007696736255442005,72569.87,0.004603117685224869
15m_hmm4,2018,2018-08-01 07:15:00+00:00,Ranging / Low-Vol,7557.96,7540.38,-0.002328733879975746,7556.93,-0.00013628944723960169,7609.98,0.006859231241353093,7603.86,0.006054700586356479,7529.07,-0.0038297842996787112
15m_hmm4,2019,2019-07-02 14:45:00+00:00,Ranging / High-Vol,10542.99,10449.0,-0.00895490404575615,10478.0,-0.006183363111701966,10632.17,0.008423126651147967,10510.69,-0.003068349603624308,10725.0,0.017116280716350702
15m_hmm4,2020,2020-07-02 10:00:00+00:00,Ranging / Low-Vol,9197.8,9193.22,-0.0004980691766612852,9191.6,-0.0006743015253263819,9191.63,-0.0006710376810510041,9191.43,-0.0006927968441072793,9232.0,0.0037113847417732187
