event_id,start_timestamp,end_timestamp,n_bars,peak_max_abs_z,state_at_event,state_before_15m,state_before_30m,state_before_1h,state_after_15m,return_after_15m,state_after_30m,return_after_30m,state_after_1h,return_after_1h,state_after_2h,return_after_2h,state_after_4h,return_after_4h,state_3_started_at_event,state_3_duration_after_event_bars,volatility_before_1h,volatility_after_1h
52,2017-09-04 07:10:00+00:00,2017-09-04 10:35:00+00:00,42,29.635708186825408,3,3,3,3,3,-0.005307899607670308,3,-0.01723418045342129,3,-0.044242217806067075,3,-0.04710821198052351,3,-0.03687895230676297,False,163,0.004380792281734423,0.007918423528888927
194,2017-09-15 06:05:00+00:00,2017-09-15 20:00:00+00:00,168,24.670200150320763,3,3,3,3,3,0.005420067469339429,3,0.005147057232463226,3,0.006767807508238022,3,0.0319567269468628,3,-0.0016317653879056593,False,427,0.007453179726298538,0.0054514895598230025
1109,2017-11-08 17:15:00+00:00,2017-11-08 21:05:00+00:00,47,27.725761283609764,3,0,2,3,3,0.013500357346320158,3,-0.0021326328566058095,3,0.006181244335142111,3,0.019473365764188344,3,0.039934847494940584,False,118,0.002752293567882712,0.0047879685992594815
1185,2017-11-12 03:30:00+00:00,2017-11-12 11:50:00+00:00,101,35.8494186902536,3,3,3,3,3,-0.014802340973908201,3,-0.004588809088971857,3,-0.011071813967049593,3,-0.025150949297810143,3,0.005131165254486092,False,574,0.005350316270500313,0.005487599687471448
1447,2017-11-29 15:15:00+00:00,2017-11-30 02:15:00+00:00,133,38.327558979176224,3,3,3,3,3,-0.012615448863378731,3,-0.003200278340234064,3,-0.002418376185435278,3,0.019126981250774833,3,-0.03716015555650998,False,610,0.006140954057746419,0.005919399435168637
1610,2017-12-10 21:15:00+00:00,2017-12-11 05:40:00+00:00,102,35.198826174507616,3,3,3,3,3,-0.006943323897575127,3,0.0005775710091580066,3,0.01220095917911479,0,0.017066542033987275,3,0.009148744933066055,False,124,0.004475347444745843,0.0034968575847371982
1698,2017-12-19 21:10:00+00:00,2017-12-20 04:55:00+00:00,94,27.317692233484912,3,3,3,3,3,-0.005228499449227542,3,-0.01776126273683687,3,-0.027590101669067835,3,-0.033992763622796573,3,0.011806386502081878,False,437,0.006071858864946151,0.0037449310519482156
1737,2017-12-22 00:55:00+00:00,2017-12-23 04:20:00+00:00,330,30.08728358926758,3,3,3,3,3,-0.010582109330536937,3,-0.01769957709940151,3,-0.04373852416286361,3,-0.0875091084929096,3,-0.03317586223890068,False,546,0.007226943742850803,0.00618721399868257
2019,2018-01-11 02:55:00+00:00,2018-01-11 08:45:00+00:00,71,28.48270430323999,3,3,3,3,3,-0.014593673680909802,3,-0.008461799425916183,3,-0.031574472940974374,3,-0.0261111746762257,3,0.0036180897466007167,False,477,0.0034279329929907737,0.004250170197917967
2091,2018-01-16 17:15:00+00:00,2018-01-17 09:15:00+00:00,193,31.533345902842257,3,3,3,3,3,0.006421155274756174,3,-0.024706045143414457,3,-0.027974431476131656,3,-0.01931567852523486,3,-0.031627473209177026,False,1070,0.004022301754625765,0.01058259757333715
