state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive,fold_id
0,Ranging / Low-Vol,15m,1013,-1.7352793659197247e-05,9.543686006807661e-06,0.004717810843936045,0.5004935834155972,0
0,Ranging / Low-Vol,30m,1012,-0.00017236659474704498,3.849633029329169e-05,0.007244198111997351,0.5019762845849802,0
0,Ranging / Low-Vol,1h,1010,-0.0006960841533445533,-4.839594422989535e-07,0.011038508127989375,0.5,0
0,Ranging / Low-Vol,2h,1007,-0.0019006774379754753,-0.0003329200687520739,0.015264066827177602,0.4915590863952334,0
0,Ranging / Low-Vol,4h,1007,-0.003275228057346015,-0.0006500307187824461,0.020830133187053488,0.48361469712015887,0
1,Downtrend / Mid-Vol,15m,959,-0.00020230095088440882,0.0004729298380325986,0.006287465455764197,0.5349322210636079,0
1,Downtrend / Mid-Vol,30m,959,-0.0002516284866209653,0.0006359300691265446,0.009095697030586014,0.5411887382690302,0
1,Downtrend / Mid-Vol,1h,959,-3.6056972392469105e-05,0.0012084126847433652,0.012724683588892281,0.5526590198123045,0
1,Downtrend / Mid-Vol,2h,958,0.00036958042002337464,0.001992211579595171,0.017349066399645088,0.5553235908141962,0
1,Downtrend / Mid-Vol,4h,951,0.0005058082366896663,0.0013060257125037111,0.02427804100535125,0.5404837013669821,0
2,Uptrend / Mid-Vol,15m,716,-0.00012585328551654998,-0.0005368255045139492,0.006297113031397237,0.44972067039106145,0
2,Uptrend / Mid-Vol,30m,716,-0.00041876590769732733,-0.00044494481213686043,0.008486266845967068,0.473463687150838,0
2,Uptrend / Mid-Vol,1h,716,-0.0011980590240461895,-0.0011904442034209595,0.01259625306385829,0.4301675977653631,0
2,Uptrend / Mid-Vol,2h,716,-0.002728563819987947,-0.001818418426304369,0.018056343075916536,0.42178770949720673,0
2,Uptrend / Mid-Vol,4h,716,-0.005041931671782861,-0.002739430845214663,0.025217982081055242,0.43854748603351956,0
3,Ranging / High-Vol,15m,287,-0.00032654767574535697,-0.00013120208515537968,0.00903170998075094,0.47735191637630664,0
3,Ranging / High-Vol,30m,287,-0.00027738686027368087,-0.0013427656656102016,0.011362132509351123,0.4425087108013937,0
3,Ranging / High-Vol,1h,287,-5.496042629374048e-05,0.00013428011491534164,0.013454065340124863,0.5017421602787456,0
3,Ranging / High-Vol,2h,287,0.0010208523330432994,0.0007663366053289877,0.016758461454364684,0.519163763066202,0
3,Ranging / High-Vol,4h,286,-1.4984612857764086e-05,0.0029118446677278698,0.022727760589309937,0.5524475524475524,0
0,Downtrend / Mid-Vol,15m,542,5.1668461272936e-05,0.00011905465664430182,0.0060122289025002105,0.5055350553505535,1
0,Downtrend / Mid-Vol,30m,542,0.00031412808505257896,0.0010667524840384246,0.008028801661876627,0.5571955719557196,1
0,Downtrend / Mid-Vol,1h,541,0.0007350520385603201,0.0012490669614191319,0.010445321102909275,0.5600739371534196,1
0,Downtrend / Mid-Vol,2h,538,0.0016012107676423707,0.0028993370716863254,0.01349374089941509,0.6096654275092936,1
0,Downtrend / Mid-Vol,4h,534,0.003582844107968593,0.0036409673202228987,0.021111950014818654,0.6310861423220974,1
1,Ranging / High-Vol,15m,66,0.0007429820034183395,-0.00017075544744926674,0.006802956992101582,0.48484848484848486,1
1,Ranging / High-Vol,30m,66,0.0006239434176479084,-0.0005514750906741028,0.009588052809312502,0.4696969696969697,1
1,Ranging / High-Vol,1h,66,0.0005461167582885217,-0.00012361884181721905,0.008827073082587346,0.4696969696969697,1
1,Ranging / High-Vol,2h,66,0.001323944680819762,-0.000296143108195146,0.0112737403203456,0.48484848484848486,1
1,Ranging / High-Vol,4h,66,0.0010874089614374349,0.0004426364312175579,0.011228866314440734,0.5303030303030303,1
2,Uptrend / Mid-Vol,15m,399,0.00021478160852432602,-0.0001095241403028524,0.004974047448312911,0.47869674185463656,1
2,Uptrend / Mid-Vol,30m,399,7.916829078557701e-05,-0.0002580816529551555,0.007338009561555845,0.46616541353383456,1
2,Uptrend / Mid-Vol,1h,399,-0.0005421822734445156,-0.0010355222524189855,0.010651274716318125,0.42355889724310775,1
2,Uptrend / Mid-Vol,2h,399,-0.001435305845830179,-0.0016055832220729371,0.012806589144781926,0.43107769423558895,1
2,Uptrend / Mid-Vol,4h,399,-0.0026910046968336055,-0.0028060194394292637,0.015899957288517463,0.39598997493734334,1
3,Ranging / Low-Vol,15m,1872,6.233481802953971e-05,0.00012609436197852375,0.003362729156730478,0.5219017094017094,1
3,Ranging / Low-Vol,30m,1871,0.00016535452912166512,0.0002781367494293363,0.004937461088289609,0.5285943345804383,1
3,Ranging / Low-Vol,1h,1870,0.000476423305324094,0.0005561321877260994,0.0077457722334829246,0.5550802139037433,1
3,Ranging / Low-Vol,2h,1869,0.0009797330885767618,0.0008622716023491961,0.011986165419465282,0.5553772070626003,1
3,Ranging / Low-Vol,4h,1865,0.0019363970081425809,0.0021568186440497072,0.015842653110663962,0.6058981233243967,1
0,Uptrend / Mid-Vol,15m,247,-0.00016059805949965992,-0.0002596723720369454,0.004098597150300004,0.4534412955465587,2
0,Uptrend / Mid-Vol,30m,247,-0.00037643785128931755,-0.00031660017562806786,0.005003647301424269,0.46558704453441296,2
0,Uptrend / Mid-Vol,1h,247,-0.0008468652585412555,-0.0013263937374077273,0.006343829954151232,0.38866396761133604,2
0,Uptrend / Mid-Vol,2h,247,-0.0015852534938469154,-0.0013608893242533782,0.008130648830308096,0.38866396761133604,2
0,Uptrend / Mid-Vol,4h,247,-0.0017742255609213351,-0.0015461682472821536,0.013119833117413299,0.42105263157894735,2
1,Ranging / Low-Vol,15m,2174,-1.8413980848508376e-05,5.376341194462952e-07,0.002941532821706463,0.5,2
1,Ranging / Low-Vol,30m,2173,-8.916899640840998e-05,1.8867822815238355e-05,0.004204313146316853,0.5062126092959043,2
1,Ranging / Low-Vol,1h,2172,-0.0002492208701371621,2.7273727516430313e-06,0.006313833813654301,0.501841620626151,2
1,Ranging / Low-Vol,2h,2172,-0.0005507027319298932,0.00010729962749067568,0.009439439102596344,0.5096685082872928,2
1,Ranging / Low-Vol,4h,2164,-0.00119078809171236,0.00013731943224737364,0.013303877909284292,0.5046210720887245,2
2,Ranging / High-Vol,15m,20,0.0008687806983449064,-0.0003857377666154349,0.004509288604844362,0.45,2
2,Ranging / High-Vol,30m,20,0.001622459674794463,0.0010315969075156417,0.0033106305462563494,0.65,2
2,Ranging / High-Vol,1h,20,0.0016592218763009647,0.0017147422891188313,0.004551592464330432,0.65,2
2,Ranging / High-Vol,2h,20,0.0035819041637485506,0.0038234960953920094,0.0070460151477187314,0.8,2
2,Ranging / High-Vol,4h,20,0.0014419864806899164,0.0007935930996394447,0.00516460930427577,0.55,2
3,Downtrend / Mid-Vol,15m,534,-0.000268624280969834,0.00013968125915830854,0.004620859443210525,0.5149812734082397,2
3,Downtrend / Mid-Vol,30m,534,-0.00028043047344221536,0.000385751003777024,0.00667856420280828,0.5205992509363296,2
3,Downtrend / Mid-Vol,1h,533,-8.871250658450362e-05,0.0011498335473980603,0.008544981827961807,0.5590994371482176,2
3,Downtrend / Mid-Vol,2h,529,2.345206016946482e-05,0.0009588963485835933,0.009926362460607605,0.5519848771266541,2
3,Downtrend / Mid-Vol,4h,529,0.00018681128121911963,0.0009610353837299357,0.012718495981081922,0.5482041587901701,2
0,Downtrend / Mid-Vol,15m,329,-0.0004583399221457901,0.00025287647119220935,0.0052489649842386715,0.5197568389057751,3
0,Downtrend / Mid-Vol,30m,329,-0.0006436478202045789,0.00024278631086538383,0.008040321079694867,0.5288753799392097,3
0,Downtrend / Mid-Vol,1h,328,-0.00031660866403440343,0.00037153348742968717,0.011575396923775804,0.5121951219512195,3
0,Downtrend / Mid-Vol,2h,326,0.00023800089480088094,-0.00018172157437579273,0.014016582195437003,0.49079754601226994,3
0,Downtrend / Mid-Vol,4h,326,0.0008938945432063719,0.001757612705434397,0.017595183820504567,0.5705521472392638,3
1,Uptrend / Mid-Vol,15m,196,0.00046386284210029737,-0.00010286685438831711,0.004790495996679976,0.49489795918367346,3
1,Uptrend / Mid-Vol,30m,196,0.0004817481420379116,-0.00014921612005558416,0.005662338752475922,0.4846938775510204,3
1,Uptrend / Mid-Vol,1h,196,0.0003243230805634091,-0.0004402359762432084,0.007311469631141656,0.4642857142857143,3
1,Uptrend / Mid-Vol,2h,196,5.245606293677602e-05,-0.0008124811782188601,0.009499588395371315,0.45918367346938777,3
1,Uptrend / Mid-Vol,4h,196,-0.0002894567219559573,-0.0013213825666396062,0.009998695672852373,0.3979591836734694,3
2,Ranging / High-Vol,15m,63,0.0010399586396528284,6.741345799987641e-05,0.007809515159030793,0.5079365079365079,3
2,Ranging / High-Vol,30m,63,0.001904531319092674,0.0016099394926829547,0.00961415370548513,0.5555555555555556,3
2,Ranging / High-Vol,1h,63,0.002287149776589662,0.0016803315599975832,0.009666619218894498,0.6190476190476191,3
2,Ranging / High-Vol,2h,63,0.002118933735110019,-0.00032205884892277936,0.011546634403337929,0.4603174603174603,3
2,Ranging / High-Vol,4h,63,0.0019772996126778118,-0.001547207228233205,0.012101974973286514,0.4444444444444444,3
3,Ranging / Low-Vol,15m,2196,-7.532080483702332e-05,-6.24443370815797e-05,0.002481403298119811,0.4813296903460838,3
3,Ranging / Low-Vol,30m,2193,-0.00014789336172063393,-7.802734394246613e-05,0.0037484372534730224,0.4842681258549932,3
3,Ranging / Low-Vol,1h,2188,-0.0003501936193878583,-0.0001959841745735602,0.0059426597541655714,0.47623400365630714,3
3,Ranging / Low-Vol,2h,2178,-0.0007029367857030379,-0.0002600656466249518,0.009076819525804348,0.4793388429752066,3
3,Ranging / Low-Vol,4h,2154,-0.0013799267531174513,-0.0007230932529322942,0.013819897862150028,0.4456824512534819,3
0,Ranging / Low-Vol,15m,2387,5.897633683394329e-05,2.6742531559875715e-05,0.0026205445357522293,0.5094260578131546,4
0,Ranging / Low-Vol,30m,2387,8.825312460859865e-05,8.848382963755341e-05,0.0038134050610446044,0.5165479681608713,4
0,Ranging / Low-Vol,1h,2386,0.00021720295129395748,8.100046791792437e-05,0.005861169115838783,0.5113160100586757,4
0,Ranging / Low-Vol,2h,2382,0.00042384709138966063,0.00015434057594099215,0.00817882918308205,0.5167926112510496,4
0,Ranging / Low-Vol,4h,2367,0.0009528628442907715,0.00025946394893949787,0.011983608950049573,0.5204900718208703,4
1,Uptrend / Mid-Vol,15m,219,-0.00010483331638146113,-0.00013770024599679687,0.0038712478945283797,0.4748858447488584,4
1,Uptrend / Mid-Vol,30m,218,-0.0001776251634575745,-0.0004861827092303983,0.004938371120465582,0.44495412844036697,4
1,Uptrend / Mid-Vol,1h,218,-0.0003021905649920066,-0.0008845759480484716,0.00665396857083292,0.41743119266055045,4
1,Uptrend / Mid-Vol,2h,218,0.000537277630615897,-0.0007070022479336302,0.011320348119762126,0.463302752293578,4
1,Uptrend / Mid-Vol,4h,218,0.0011705134840597586,-0.00041815296559821746,0.012158240733277282,0.47706422018348627,4
2,Downtrend / Mid-Vol,15m,280,1.7840323919214387e-05,0.0005127370151436494,0.00462285274765608,0.55,4
2,Downtrend / Mid-Vol,30m,279,0.00031728388108995763,0.00038558614322603546,0.005945712591697685,0.5448028673835126,4
2,Downtrend / Mid-Vol,1h,276,0.00041523426749919614,0.0012803758847494962,0.007575963779515776,0.5978260869565217,4
2,Downtrend / Mid-Vol,2h,272,0.0004417179218752934,0.0013739023997541011,0.010023940966772884,0.5772058823529411,4
2,Downtrend / Mid-Vol,4h,271,0.0005454906571830313,0.0010390422234678454,0.013409212123491015,0.5608856088560885,4
3,Ranging / High-Vol,15m,35,0.0007579735206863043,0.00015988794212518087,0.006625322976356021,0.5428571428571428,4
3,Ranging / High-Vol,30m,35,0.0014644707292161131,0.000517885862153733,0.007374174250557202,0.5714285714285714,4
3,Ranging / High-Vol,1h,35,0.0017216427115172399,0.0008641955588739592,0.007484764861158287,0.6,4
3,Ranging / High-Vol,2h,35,0.0008609873273920345,0.0005288241318321951,0.006583833699058509,0.5428571428571428,4
3,Ranging / High-Vol,4h,35,0.002744121931073451,0.0023465517002030367,0.008403913834027738,0.6285714285714286,4
0,Downtrend / Mid-Vol,15m,519,-0.00031920525845315664,9.164685521767524e-05,0.004839438853536196,0.5086705202312138,5
0,Downtrend / Mid-Vol,30m,519,-0.000501345435301737,0.000451866396938172,0.006784546659276654,0.5375722543352601,5
