seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
43,-140249.75892220947,,2.291051149368286,True,36,[],30m_hmm6,0
45,-140249.76088420738,,3.236521005630493,True,60,[],30m_hmm6,0
46,-138762.18564667116,,3.585592031478882,True,67,[],30m_hmm6,0
44,-138762.19263495837,,4.071748733520508,True,81,[],30m_hmm6,0
42,-119121.24155088677,,4.607428073883057,True,92,[],30m_hmm6,0
45,-140343.50703066876,,2.3449387550354004,True,27,[],30m_hmm6,1
46,-164996.4199172188,,2.8796589374542236,True,38,[],30m_hmm6,1
43,-139555.1245125566,,5.701643943786621,True,91,[],30m_hmm6,1
44,-140504.0645746701,,5.729118824005127,True,90,[],30m_hmm6,1
42,-165414.17216412234,,5.732715845108032,True,100,[],30m_hmm6,1
43,-158051.89937587784,,4.324426889419556,True,52,[],30m_hmm6,2
46,-157518.76635557928,,4.3974809646606445,True,50,[],30m_hmm6,2
42,-158400.02901517262,,4.5069756507873535,True,55,[],30m_hmm6,2
45,-153791.20373374803,,4.926319360733032,True,60,[],30m_hmm6,2
44,-157815.81776692608,,6.778351306915283,True,99,[],30m_hmm6,2
42,-207669.89802462494,,4.973555088043213,True,55,[],30m_hmm6,3
43,-178334.63002453736,,5.112445116043091,True,54,[],30m_hmm6,3
44,-175493.56658269762,,5.261077165603638,True,56,[],30m_hmm6,3
46,-174610.10592440545,,5.494846343994141,True,61,[],30m_hmm6,3
45,-174961.5958857175,,7.615771770477295,True,100,[],30m_hmm6,3
46,-190425.38007232713,,7.105516672134399,True,65,[],30m_hmm6,4
43,-190423.85529213562,,7.780528545379639,True,77,[],30m_hmm6,4
45,-225817.3251607626,,8.110472679138184,True,85,[],30m_hmm6,4
42,-190423.86151833236,,8.348283290863037,True,84,[],30m_hmm6,4
44,-190423.86143620548,,8.358457088470459,True,86,[],30m_hmm6,4
44,-205020.05608605195,,4.14558219909668,True,35,[],30m_hmm6,5
43,-203972.77281029013,,4.669386148452759,True,39,[],30m_hmm6,5
45,-243458.2337384765,,6.820645093917847,True,67,[],30m_hmm6,5
46,-243453.61413809587,,7.15454626083374,True,74,[],30m_hmm6,5
42,-243453.63506381,,7.327704191207886,True,76,[],30m_hmm6,5
45,-264201.7064481369,,7.117175579071045,True,57,[],30m_hmm6,6
46,-264201.7015642819,,8.910189151763916,True,74,[],30m_hmm6,6
42,-220349.9281926651,,9.001950740814209,True,69,[],30m_hmm6,6
43,-220869.20786101144,,11.223825216293335,True,100,[],30m_hmm6,6
44,-220864.45587311714,,11.364319562911987,True,100,[],30m_hmm6,6
42,-280748.31743772863,,8.848191976547241,True,69,[],30m_hmm6,7
43,-280747.5416942649,,9.415555000305176,True,74,[],30m_hmm6,7
45,-280748.3184787289,,9.451661586761475,True,74,[],30m_hmm6,7
46,-233780.09932500398,,12.029484272003174,True,100,[],30m_hmm6,7
44,-233776.06120538997,,12.106974601745605,True,100,[],30m_hmm6,7
42,-242936.64446331828,,5.453678131103516,True,33,[],30m_hmm6,8
44,-245972.34624322894,,8.400468826293945,True,59,[],30m_hmm6,8
43,-293641.9596395311,,8.875041961669922,True,69,[],30m_hmm6,8
45,-293641.9605342567,,9.572258234024048,True,74,[],30m_hmm6,8
46,-244979.21915384277,,11.881799459457397,True,100,[],30m_hmm6,8
46,-261024.46285854586,,11.770841598510742,True,77,[],30m_hmm6,9
43,-311419.02196467615,,12.010719060897827,True,79,[],30m_hmm6,9
45,-311419.0195129079,,12.42547082901001,True,86,[],30m_hmm6,9
44,-311419.0160172206,,13.420344114303589,True,96,[],30m_hmm6,9
42,-311418.0033956441,,13.611457109451294,True,100,[],30m_hmm6,9
46,-281889.7866346056,,3.3214497566223145,True,15,[],30m_hmm6,10
42,-276495.7239495641,,5.179835319519043,True,30,[],30m_hmm6,10
44,-290349.4575192617,,5.2394654750823975,True,30,[],30m_hmm6,10
45,-281865.4329031499,,8.838243961334229,True,66,[],30m_hmm6,10
43,-281865.4534791016,,9.154761791229248,True,70,[],30m_hmm6,10
46,-293301.15788635425,,3.399385452270508,True,13,[],30m_hmm6,11
44,-293253.85450744093,,7.6941306591033936,True,46,[],30m_hmm6,11
43,-293261.1780684413,,9.755160331726074,True,63,[],30m_hmm6,11
45,-352154.99358746514,,12.029417514801025,True,84,[],30m_hmm6,11
42,-352154.8728866229,,13.360482931137085,True,100,[],30m_hmm6,11
44,-302439.9030396754,,11.86731481552124,True,63,[],30m_hmm6,12
42,-302441.1168077651,,12.27865195274353,True,66,[],30m_hmm6,12
43,-302435.9291930876,,12.810670137405396,True,71,[],30m_hmm6,12
45,-363934.44429944514,,15.34272289276123,True,100,[],30m_hmm6,12
46,-363933.17263566965,,15.430621147155762,True,100,[],30m_hmm6,12
42,-305299.564880268,,6.574750900268555,True,32,[],30m_hmm6,13
46,-310598.8541781731,,9.408921480178833,True,50,[],30m_hmm6,13
44,-310600.41790597886,,9.748605012893677,True,51,[],30m_hmm6,13
45,-374543.11916206917,,14.818273305892944,True,100,[],30m_hmm6,13
43,-374542.67195977125,,14.898066520690918,True,100,[],30m_hmm6,13
43,-322459.804499949,,3.806520938873291,True,13,[],30m_hmm6,14
44,-318381.5851005797,,6.571995735168457,True,30,[],30m_hmm6,14
42,-318381.8367223175,,6.857301712036133,True,33,[],30m_hmm6,14
45,-318380.58632534166,,8.67350149154663,True,46,[],30m_hmm6,14
46,-391943.37976596225,,14.124001026153564,True,100,[],30m_hmm6,14
43,-336726.3012232121,,9.795191287994385,True,42,[],30m_hmm6,15
44,-340953.87428191066,,11.924840450286865,True,57,[],30m_hmm6,15
42,-415509.4295515571,,13.707970380783081,True,71,[],30m_hmm6,15
45,-415509.41981871775,,15.111257076263428,True,80,[],30m_hmm6,15
46,-415508.87479689816,,16.3151798248291,True,91,[],30m_hmm6,15
46,-358727.4340261811,,4.919858455657959,True,17,[],30m_hmm6,16
44,-354502.83065875265,,7.566984415054321,True,33,[],30m_hmm6,16
43,-358725.30688409664,,11.531116008758545,True,58,[],30m_hmm6,16
42,-437946.2999623527,,15.95308256149292,True,96,[],30m_hmm6,16
45,-437946.37358279235,,16.63522219657898,True,100,[],30m_hmm6,16
46,-380363.84311985853,,3.5510334968566895,True,11,[],30m_hmm6,17
42,-380423.7474787802,,13.472726583480835,True,63,[],30m_hmm6,17
45,-380423.74835697043,,16.732518434524536,True,82,[],30m_hmm6,17
44,-463807.8318714767,,18.5583713054657,True,100,[],30m_hmm6,17
43,-463807.7967224821,,18.891940116882324,True,100,[],30m_hmm6,17
45,-391784.0306481522,,7.8704493045806885,True,31,[],30m_hmm6,18
46,-485807.61909380835,,18.073877096176147,True,86,[],30m_hmm6,18
44,-370913.97460489994,,19.079208612442017,True,84,[],30m_hmm6,18
43,-485807.74953733647,,20.485177040100098,True,100,[],30m_hmm6,18
42,-485807.7491443621,,20.66697359085083,True,100,[],30m_hmm6,18
43,-408944.96468128165,,4.637705564498901,True,14,[],30m_hmm6,19
44,-408898.2398277641,,15.402551412582397,True,65,[],30m_hmm6,19
