fold_id,model,timeframe,n_states,train_start,train_end,test_start,test_end,test_year,n_train,n_test,n_transitions,n_segments,transitions_per_1k_bars,transitions_per_day,transitions_per_hour,median_duration_minutes,mean_duration_minutes,min_duration_minutes,max_duration_minutes,pct_gt30m,pct_gt1h,pct_gt2h,pct_gt4h,pct_gt8h,pct_1bar,n_distinct_states_observed,n_distinct_labels_observed,n_distinct_labels_trained,max_state_occupancy_pct,state_occupancy,regime_labels_trained,train_ll,train_ll_per_obs,test_ll,test_ll_per_obs,best_seed,restart_spread,restart_spread_normalized,n_restarts_converged,n_restarts_failed,mean_stay_prob,median_stay_prob,trend_score_range,vol_score_range,fit_time_s,decode_time_s,failure_flags,status
0,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-02-28 20:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018,44305,8928,1395,1396,156.25,45.005040887196145,1.875210036966506,20.0,31.977077363896846,5.0,325.0,34.885386819484246,12.320916905444127,2.5787965616045847,0.35816618911174786,0.0,17.908309455587393,4,4,4,40.66980286738352,"{0: 28.091397849462364, 1: 7.526881720430108, 2: 40.66980286738352, 3: 23.711917562724015}","{0: 'Downtrend / Mid-Vol', 1: 'Ranging / High-Vol', 2: 'Ranging / Low-Vol', 3: 'Uptrend / Mid-Vol'}",-849192.5042337324,-19.166967706437926,-167204.7912499127,-18.728135220644344,46,1.2296796841546893,1.448057628893332e-06,5,0,0.893242668774235,0.8882637605757191,0.8957423279575085,2.2116196322990653,26.95012879371643,0.023579835891723633,[],ok
1,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-03-31 20:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,2018,53233,8640,894,895,103.47222222222221,29.803449473318672,1.2418103947216113,25.0,48.26815642458101,5.0,625.0,39.10614525139665,22.23463687150838,10.279329608938548,2.793296089385475,0.33519553072625696,16.64804469273743,4,4,4,69.82638888888889,"{0: 69.82638888888889, 1: 3.460648148148148, 2: 12.152777777777777, 3: 14.560185185185185}","{0: 'Ranging / Low-Vol', 1: 'Ranging / High-Vol', 2: 'Uptrend / Mid-Vol', 3: 'Downtrend / Mid-Vol'}",-1025929.1861531392,-19.272428496480366,-149013.20377136485,-17.246898584648708,44,0.004867959767580032,4.7449276551270645e-09,5,0,0.896044237898842,0.8895593845375618,0.9224113078892449,2.251387554227396,24.056386709213257,0.021863937377929688,[],ok
2,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-04-30 20:00:00+00:00,2018-05-01 00:00:00+00:00,2018-06-01 00:00:00+00:00,2018,61873,8928,573,574,64.18010752688171,18.485941525708526,0.7702475635711884,35.0,77.77003484320558,5.0,1130.0,52.09059233449478,32.22996515679443,18.641114982578397,8.013937282229964,1.7421602787456445,9.059233449477352,4,4,4,78.49462365591397,"{0: 1.1088709677419355, 1: 7.582885304659498, 2: 78.49462365591397, 3: 12.813620071684587}","{0: 'Ranging / High-Vol', 1: 'Uptrend / Mid-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / Mid-Vol'}",-1181779.2276274178,-19.10007964099717,-128331.11128908304,-14.374004400658944,44,5.996424858691171,5.07406520482663e-06,5,0,0.9016858071549461,0.8992708491234636,0.8689687096382473,2.2220249283083477,23.660195112228394,0.024585485458374023,[],ok
3,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-05-31 20:00:00+00:00,2018-06-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,2018,70801,8405,372,375,44.25936942296252,12.40143535131381,0.5167264729714087,35.0,112.06666666666666,5.0,1210.0,52.26666666666666,36.53333333333333,23.733333333333334,14.133333333333335,5.866666666666666,8.266666666666666,4,4,4,82.35574063057703,"{0: 82.35574063057703, 1: 2.391433670434265, 2: 8.74479476502082, 3: 6.508030933967876}","{0: 'Ranging / Low-Vol', 1: 'Ranging / High-Vol', 2: 'Downtrend / Mid-Vol', 3: 'Uptrend / Mid-Vol'}",-1335620.1304137686,-18.864424660863104,-123862.15841984624,-14.736723190939468,43,0.00754838646389544,5.651596806613709e-09,5,0,0.9036989953138244,0.9032264431587677,0.8465630932869029,2.229934423593995,25.882030963897705,0.01581430435180664,[],ok
4,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-06-30 20:00:00+00:00,2018-07-01 00:00:00+00:00,2018-08-01 00:00:00+00:00,2018,79206,8790,372,373,42.32081911262799,12.00134423658564,0.5000560098577349,45.0,117.828418230563,5.0,1345.0,56.83646112600537,35.388739946380696,22.5201072386059,13.136729222520108,6.434316353887399,5.361930294906166,4,4,4,82.5028441410694,"{0: 8.0773606370876, 1: 82.5028441410694, 2: 1.3083048919226392, 3: 8.111490329920363}","{0: 'Downtrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / High-Vol', 3: 'Uptrend / Mid-Vol'}",-1472450.5055344414,-18.59013844322957,-112264.46372631035,-12.77183887671335,44,0.002021272201091051,1.3727267527796522e-09,5,0,0.9061320930624505,0.9106650193046437,0.8068265225392179,2.2328947112612636,24.82540535926819,0.015689373016357422,[],ok
5,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-07-31 20:00:00+00:00,2018-08-01 00:00:00+00:00,2018-09-01 00:00:00+00:00,2018,87996,8928,653,654,73.14068100358423,21.066875770135542,0.8777864904223143,30.0,68.25688073394495,5.0,1180.0,49.84709480122324,27.981651376146786,12.538226299694188,5.81039755351682,1.529051987767584,6.269113149847094,4,4,4,68.53718637992831,"{0: 13.474462365591396, 1: 68.53718637992831, 2: 15.434587813620071, 3: 2.553763440860215}","{0: 'Downtrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Uptrend / Mid-Vol', 3: 'Ranging / High-Vol'}",-1609432.9394762663,-18.289842032322678,-128793.29537881486,-14.425772331856503,42,0.0035367021337151527,2.1974833787520524e-09,5,0,0.9086664871788408,0.9140530376975342,0.7872371076451077,2.253104815830701,32.10568594932556,0.01756906509399414,[],ok
6,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-08-31 20:00:00+00:00,2018-09-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,2018,96924,8640,339,340,39.23611111111111,11.301308021761777,0.470887834240074,40.0,127.05882352941177,5.0,1370.0,52.94117647058824,37.94117647058823,25.882352941176475,14.117647058823529,7.0588235294117645,5.294117647058823,4,4,4,85.50925925925927,"{0: 85.50925925925927, 1: 1.3657407407407407, 2: 6.2615740740740735, 3: 6.863425925925926}","{0: 'Ranging / Low-Vol', 1: 'Ranging / High-Vol', 2: 'Uptrend / Mid-Vol', 3: 'Downtrend / Mid-Vol'}",-1760669.7486867378,-18.165467259778154,-99742.62823749355,-11.544285675635829,44,0.0015620512422174215,8.871915039049978e-10,5,0,0.9083469962032843,0.9129533098447771,0.7941349382557632,2.272690115067026,32.47150182723999,0.01851677894592285,[],ok
7,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-09-30 20:00:00+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,2018,105564,8839,153,155,17.30965041294264,4.936036742466674,0.20566819760277807,35.0,285.1290322580645,5.0,4010.0,50.967741935483865,40.0,28.387096774193548,23.225806451612904,15.483870967741936,8.38709677419355,4,4,4,93.13270731983256,"{0: 2.7491797714673605, 1: 0.8598257721461704, 2: 3.2582871365539092, 3: 93.13270731983256}","{0: 'Uptrend / Mid-Vol', 1: 'Ranging / High-Vol', 2: 'Downtrend / Mid-Vol', 3: 'Ranging / Low-Vol'}",-1889903.603050419,-17.90291769022033,-94690.5681259499,-10.712814586033476,43,0.0021117711439728737,1.1173962209312408e-09,5,0,0.9096298570477814,0.9131272580101819,0.7869231949733724,2.286090510794475,34.573493242263794,0.022203445434570312,[],ok
8,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-10-31 20:00:00+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,2018,114403,8509,489,491,57.468562698319424,16.30188679245283,0.6792452830188679,35.0,86.64969450101833,5.0,2970.0,50.91649694501018,28.920570264765782,8.757637474541752,4.480651731160896,2.8513238289205702,5.906313645621181,4,4,4,54.38946997296979,"{0: 54.38946997296979, 1: 16.888000940180987, 2: 11.446703490421905, 3: 17.275825596427314}","{0: 'Ranging / Low-Vol', 1: 'Uptrend / Mid-Vol', 2: 'Ranging / High-Vol', 3: 'Downtrend / Mid-Vol'}",-2009134.1284411303,-17.561900723242662,-122338.72938687452,-14.377568384871843,44,0.5022036368027329,2.4996023396028236e-07,5,0,0.9075560173476005,0.9102547081565839,0.7397072067977777,2.247979697611037,61.88388442993164,0.030181884765625,[],ok
9,5m_hmm4,5m,4,2017-09-01 00:00:00+00:00,2018-11-30 20:00:00+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,2018,122912,8928,967,968,108.31093189964159,31.197042679511593,1.299876778312983,30.0,46.11570247933884,5.0,380.0,49.17355371900827,23.863636363636363,5.8884297520661155,0.5165289256198348,0.0,4.648760330578512,4,4,4,35.59587813620072,"{0: 27.475358422939067, 1: 35.59587813620072, 2: 29.166666666666668, 3: 7.762096774193548}","{0: 'Ranging / Low-Vol', 1: 'Uptrend / Mid-Vol', 2: 'Downtrend / Mid-Vol', 3: 'Ranging / High-Vol'}",-2149145.4644819023,-17.48523711665177,-154581.2897336324,-17.314212559770656,46,0.001938456203788519,9.01966030603622e-10,5,0,0.9064813412911098,0.9079176271370145,0.7145947583063434,2.2258177787742084,54.043983697891235,0.03234124183654785,[],ok
