state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive,fold_id
0,Uptrend / Mid-Vol,30m,378,-0.0006730540376067033,-0.0006950317961118557,0.007972820444907332,0.46825396825396826,0
0,Uptrend / Mid-Vol,1h,378,-0.0014484038719984826,-0.0013394948858689304,0.012497937777277333,0.4126984126984127,0
0,Uptrend / Mid-Vol,2h,378,-0.0038463263196291224,-0.0020642959904542124,0.018014851306911592,0.41798941798941797,0
0,Uptrend / Mid-Vol,4h,378,-0.0059256929788675805,-0.0028721317724302864,0.02337185478101451,0.41798941798941797,0
0,Uptrend / Mid-Vol,8h,377,-0.005343438728928575,-0.0022774047440403677,0.02961390971188178,0.46684350132625996,0
1,Ranging / Low-Vol,30m,408,-0.0003669119308118984,-5.882363316445094e-07,0.006568465994948087,0.49754901960784315,0
1,Ranging / Low-Vol,1h,408,-0.001117400815602969,-0.00019151439715425767,0.009684375900015266,0.48284313725490197,0
1,Ranging / Low-Vol,2h,408,-0.0026490541402775787,-0.0013403014539257185,0.014099973301667599,0.4534313725490196,0
1,Ranging / Low-Vol,4h,408,-0.004974713162074083,-0.0021360625106856546,0.021300163741699765,0.4338235294117647,0
1,Ranging / Low-Vol,8h,403,-0.011030345808807398,-0.009063133467575923,0.029908182562518502,0.3771712158808933,0
2,Downtrend / Mid-Vol,30m,561,-0.00011205760789617925,0.0003995222093724493,0.009720826363708513,0.5240641711229946,0
2,Downtrend / Mid-Vol,1h,560,-9.319890573733185e-05,0.0011074093969805077,0.01357744752275382,0.55,0
2,Downtrend / Mid-Vol,2h,558,0.0010377494448254292,0.0022536895176017424,0.01804466730855004,0.553763440860215,0
2,Downtrend / Mid-Vol,4h,554,0.0015788042939866782,0.0022910066765602366,0.024729991496206166,0.572202166064982,0
2,Downtrend / Mid-Vol,8h,552,-0.0014953259084661901,-0.0006555062460087413,0.03355422828348339,0.48188405797101447,0
3,Ranging / High-Vol,30m,140,0.00046823435363839547,-0.001250427343138405,0.011637510527870293,0.45,0
3,Ranging / High-Vol,1h,140,0.001742740399826965,0.0008753016577740524,0.013650330116971112,0.5357142857142857,0
