seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
44,-295716.1986743178,,3.841400623321533,True,37,[],15m_hmm4,0
42,-295716.19840148964,,3.8645060062408447,True,37,[],15m_hmm4,0
45,-295716.20077273715,,4.188359260559082,True,41,[],15m_hmm4,0
46,-295716.20039432996,,4.272769451141357,True,46,[],15m_hmm4,0
43,-295716.20076153794,,4.963116884231567,True,65,[],15m_hmm4,0
44,-351108.11353622604,,4.567570686340332,True,39,[],15m_hmm4,1
42,-351108.1139080893,,4.807052850723267,True,43,[],15m_hmm4,1
46,-351108.11264756694,,4.910665273666382,True,43,[],15m_hmm4,1
43,-351108.1137632702,,5.061654567718506,True,47,[],15m_hmm4,1
45,-351108.11590945954,,5.536160230636597,True,58,[],15m_hmm4,1
46,-397950.8685200191,,4.914276838302612,True,39,[],15m_hmm4,2
44,-397950.8682224307,,5.244853734970093,True,39,[],15m_hmm4,2
42,-397950.87152310635,,5.4446399211883545,True,44,[],15m_hmm4,2
43,-397950.8694262672,,5.4446399211883545,True,43,[],15m_hmm4,2
45,-397950.8678919102,,5.5141143798828125,True,45,[],15m_hmm4,2
44,-443739.2697328474,,5.309507369995117,True,38,[],15m_hmm4,3
42,-443739.26540067384,,5.446629762649536,True,41,[],15m_hmm4,3
45,-443739.2674114592,,5.590803861618042,True,40,[],15m_hmm4,3
46,-443739.26601458556,,5.797032594680786,True,42,[],15m_hmm4,3
43,-443739.26341541106,,6.175855875015259,True,51,[],15m_hmm4,3
46,-484184.4556181343,,5.928114175796509,True,38,[],15m_hmm4,4
42,-484184.4578650766,,6.233515739440918,True,38,[],15m_hmm4,4
44,-484184.45904311235,,6.287102222442627,True,38,[],15m_hmm4,4
45,-484184.45311147853,,6.30937647819519,True,37,[],15m_hmm4,4
43,-484184.4565779118,,7.011157512664795,True,49,[],15m_hmm4,4
45,-523704.14933996985,,7.217132091522217,True,37,[],15m_hmm4,5
44,-523704.15049268823,,7.393432378768921,True,39,[],15m_hmm4,5
42,-523704.1493421985,,7.678356409072876,True,40,[],15m_hmm4,5
46,-523704.15367364173,,7.8842620849609375,True,41,[],15m_hmm4,5
43,-523704.15209728316,,8.63557481765747,True,54,[],15m_hmm4,5
46,-569087.0661363439,,6.428210973739624,True,38,[],15m_hmm4,6
45,-569087.0641360501,,6.869840145111084,True,40,[],15m_hmm4,6
44,-569087.064173635,,6.959311485290527,True,37,[],15m_hmm4,6
42,-569087.0674119036,,7.133610010147095,True,42,[],15m_hmm4,6
43,-569087.06928474,,7.386013746261597,True,44,[],15m_hmm4,6
46,-605991.6817928485,,6.851290702819824,True,33,[],15m_hmm4,7
45,-605991.6894604064,,7.436225414276123,True,39,[],15m_hmm4,7
42,-605991.6901271063,,7.7267539501190186,True,40,[],15m_hmm4,7
44,-605991.6875508748,,8.158427715301514,True,43,[],15m_hmm4,7
43,-605991.691864004,,8.291470527648926,True,47,[],15m_hmm4,7
45,-638327.8760434292,,9.45996904373169,True,43,[],15m_hmm4,8
42,-638327.8736615998,,9.507563352584839,True,44,[],15m_hmm4,8
44,-638327.8725303463,,9.747173547744751,True,43,[],15m_hmm4,8
46,-638327.8732053668,,9.733351230621338,True,42,[],15m_hmm4,8
43,-638327.8736012359,,10.29316759109497,True,51,[],15m_hmm4,8
46,-678966.5188303823,,10.99032998085022,True,49,[],15m_hmm4,9
45,-678966.5226080295,,11.067349433898926,True,48,[],15m_hmm4,9
