model,n_folds,oos_obs_total,transitions_per_day_mean,transitions_per_day_median,transitions_per_day_std,median_duration_minutes_mean,mean_duration_minutes_mean,pct_gt1h_mean,pct_gt2h_mean,pct_gt4h_mean,n_states,distinct_labels_mean,distinct_labels_trained_mode,test_ll_per_obs_mean,restart_spread_mean,restart_spread_normalized_mean,trend_score_range_mean,vol_score_range_mean,mean_stay_prob_mean,n_folds_with_failure_flags
5m_hmm4,101,879408,21.14411966133794,19.235559671258248,7.190716233192213,37.62376237623762,77.58974221817336,31.92689304507707,15.284980465553604,5.837704025611035,4,3.4554455445544554,4,-14.885041591611518,29387.65535391729,0.003606710274224946,0.5251191710284474,2.2975897254662248,0.9122434612662568,39
15m_hmm4,101,292950,13.006146759150356,13.552941176470588,3.416301490032787,64.60396039603961,123.05197609152295,48.00257059290954,25.813894498813873,10.000269018023301,4,4.0,4,-12.574300511309412,1761.200024907407,0.0006240301904031306,0.7488555864799408,2.0113902448543897,0.8485957392945005,0
30m_hmm6,101,146180,25.056633566368266,25.250868658790825,3.5069205683479026,31.485148514851485,58.61921593270092,18.902726606174816,5.016029568666507,1.4575453389096098,6,4.316831683168317,4,-8.265729336547368,239009.26772484972,0.25197504270339643,1.761362019302078,3.1307735688482548,0.6429001583630998,20
