fold,n_eligible,pool_train_rows,fit_time_s,train_auc,fold_auc
0,4184,0,0.0,,
1,1768,4184,1.0790417194366455,0.6250122297742773,0.5203449394463668
2,1228,5952,0.7539334297180176,0.6380530372608998,0.5022691771269178
3,705,7180,0.5610263347625732,0.6327940749093532,0.5346164999275047
4,827,7885,1.1559314727783203,0.6312304035008409,0.5241984870317004
5,1557,8712,0.7174148559570312,0.6335604639910338,0.4720227438832231
6,510,10269,0.9604973793029785,0.627494729294712,0.51212870846607
7,260,10779,1.0060410499572754,0.6304082065023437,0.401370929118774
8,2091,11039,0.9607105255126953,0.6312829289349503,0.5182589666754113
9,3548,13130,0.7467987537384033,0.6285796691013171,0.5002109222376239
10,415,16678,1.0821170806884766,0.6191308467215008,0.5787871600253005
11,64,17093,1.2588341236114502,0.618709439637654,0.43593593593593594
12,246,17157,1.1825079917907715,0.6202556104267027,0.5645225464190983
13,191,17403,1.042428731918335,0.6216763121002886,0.5875954198473283
14,549,17594,1.0270614624023438,0.6199039030774556,0.5496050870147255
15,748,18143,1.420900821685791,0.6197728130276531,0.43884241384241385
16,889,18891,1.0034422874450684,0.6163330026971218,0.542024147421838
17,228,19780,1.1426596641540527,0.6132199274773789,0.5003883495145631
18,183,20008,1.2040841579437256,0.6137024370634354,0.5364923747276689
19,233,20191,1.2044179439544678,0.6134612976989169,0.4794951485748939
20,181,20424,1.2483222484588623,0.6131225626350691,0.5108289768483943
21,111,20605,1.0739853382110596,0.6133141936566067,0.5561688311688312
22,115,20716,1.2795464992523193,0.6148295063125012,0.5652377972465582
23,98,20831,1.388139009475708,0.6156560253738581,0.5396328744263663
24,1703,20929,1.472844123840332,0.61571693108382,0.43374085052826816
25,310,22632,1.3373751640319824,0.6187092315993621,0.565659757330637
26,259,22942,1.2847797870635986,0.6190817510798048,0.5386850152905199
27,65,23201,1.2076048851013184,0.6178476768724797,0.44395711500974655
28,59,23266,1.2317523956298828,0.618571854071901,0.2702380952380953
29,77,23325,1.4034724235534668,0.6170912549172606,0.4134328358208955
30,99,23402,1.3408722877502441,0.6187707428806487,0.37577160493827166
31,46,23501,1.2696962356567383,0.6210661794479081,0.5392156862745098
32,299,23547,1.34881591796875,0.6217782983586773,0.4853462377317339
33,336,23846,1.51975679397583,0.6233620999882767,0.5604729100726121
34,2351,24182,1.4020323753356934,0.6219941061411247,0.47205689993459776
35,1051,26533,1.148219347000122,0.6213197277045244,0.3993318533994951
36,292,27584,1.309765338897705,0.6218453323007024,0.4844755588307541
37,294,27876,1.7393052577972412,0.6202883134184749,0.6324766943814564
38,1998,28170,1.4649326801300049,0.619838036741844,0.4919514574360163
39,714,30168,1.3518779277801514,0.6141398453257937,0.5290379766782225
40,195,30882,1.3733911514282227,0.6158415992748427,0.5557027771888913
41,120,31077,1.4691474437713623,0.6166377855894873,0.5089605734767025
42,326,31197,1.3395962715148926,0.6148455329855265,0.5637334258402714
43,2538,31523,1.5293822288513184,0.6154940209570774,0.5061524317401824
44,165,34061,2.147670269012451,0.6096101802245414,0.38186977299880526
45,2834,34226,1.5352027416229248,0.610998939162025,0.4721338217044954
46,2574,37060,1.9184021949768066,0.6029716048759215,0.49423785732581116
47,2300,39634,2.1084327697753906,0.5980535367399906,0.4908267642642642
48,2056,41934,2.1526782512664795,0.5983501962929859,0.48663157704857957
49,1635,43990,2.210926055908203,0.5973473898485496,0.567391545146737
50,2290,45625,2.0228326320648193,0.5914709943337813,0.5356952504238981
51,2340,47915,2.5065698623657227,0.591269465226977,0.5830257709044967
52,2850,50255,2.3267340660095215,0.5918087916480169,0.5042419313965781
53,1657,53105,2.8627936840057373,0.5907516655436889,0.540575530757859
54,2084,54762,2.6910691261291504,0.5903290127413346,0.4704354687220398
55,706,56846,3.1040141582489014,0.5879450460779165,0.5292633865711871
56,1028,57552,2.8665781021118164,0.5889398395488158,0.4627844742976322
57,226,58580,3.4585256576538086,0.5877000419645416,0.5587152369761066
58,724,58806,3.4329826831817627,0.588383792166852,0.45406221288883053
59,931,59530,3.5133450031280518,0.5882822983102238,0.49578982356036894
60,1608,60461,3.104893684387207,0.5890904571401095,0.44878072174342176
61,717,62069,3.7238073348999023,0.5895568576339298,0.4961124728731793
62,649,62786,3.5030105113983154,0.5891015851954869,0.5165915316137868
63,820,63435,3.807551622390747,0.5882457601811768,0.5932321880113044
64,330,64255,3.615572452545166,0.5887493228974964,0.4164970957120131
65,417,64585,3.3115978240966797,0.5879212737512288,0.3634848558040674
66,316,65002,3.861727237701416,0.5908187219522623,0.5433759652509652
67,0,65318,3.69606876373291,0.5911719880161347,
68,0,65318,3.735903263092041,0.5911719880161347,
69,1212,65318,3.599843978881836,0.5911719880161347,0.48178877986872093
70,0,66530,3.9296133518218994,0.5885144827179398,
71,0,66530,4.010968923568726,0.5885144827179398,
72,0,66530,3.773658037185669,0.5885144827179398,
73,0,66530,3.8047537803649902,0.5885144827179398,
74,1408,66530,3.431931495666504,0.5885144827179398,0.5217350934560575
75,0,67938,4.451022148132324,0.5881309422741285,
76,1778,67938,4.610509634017944,0.5881309422741285,0.568803558405251
77,1798,69716,3.715449810028076,0.5861533132724996,0.5212076218757733
78,1341,71514,4.080952167510986,0.5845364008576295,0.5911033350536563
79,1086,72855,4.480630159378052,0.5840558507530932,0.517623759009928
80,2007,73941,4.397900104522705,0.5843840523858688,0.4811797736070917
81,1770,75948,4.952384948730469,0.5826388594230705,0.45799532046784985
82,1604,77718,4.778404951095581,0.5827469257338067,0.49327278947532116
83,1496,79322,4.511884689331055,0.582962203510178,0.5114688862550345
84,1819,80818,4.888002872467041,0.5819659841629126,0.5158312047679864
85,1386,82637,5.342615365982056,0.5822869559624632,0.4800552976159424
86,1008,84023,5.19667649269104,0.5804969961002944,0.4358093192530279
87,658,85031,5.081888675689697,0.5801343426275513,0.48246515719775895
88,660,85689,4.917896032333374,0.5796540099473452,0.5226031006461991
89,541,86349,5.11371374130249,0.5802629108934926,0.5651413263353562
90,366,86890,5.8359763622283936,0.5799530587869203,0.5117026788163228
91,1332,87256,6.741772651672363,0.5806699968519847,0.46806468927318157
92,1836,88588,5.727819442749023,0.579210540216932,0.5111077620834961
93,1002,90424,6.182919502258301,0.579100786071578,0.5256618940969445
94,945,91426,6.644231557846069,0.5796010637463739,0.49497478418492785
95,1950,92371,6.085352659225464,0.5792867585983263,0.47117913531619793
96,2015,94321,5.696629285812378,0.5793474050090637,0.5093567721193875
97,970,96336,7.424069881439209,0.5795962878863242,0.552987078190351
98,557,97306,7.177667856216431,0.5802875174907428,0.5259541000515731
99,1670,97863,7.923186779022217,0.5803613775546965,0.4365871849116139
100,629,99533,7.184250116348267,0.5806799018562419,0.6090046432409417
