year,n,base_lr,base_rf,struct_lr,struct_rf
2018,16678,0.5019173846861849,0.49864399262321896,0.5242895561730978,0.5348185129119538
2019,4038,0.47886802015174024,0.4878355696278753,0.4726210308698969,0.48381789169443223
2020,3466,0.48428915435736,0.4850275445960126,0.499047205854656,0.5304356014744263
2021,12878,0.49857190162124415,0.4921125283098369,0.5127585192858021,0.5135409534343417
2022,21746,0.4950795483105363,0.5108451022646832,0.5122329004649417,0.5288954257908334
2023,7724,0.4943466940668792,0.48275781932224715,0.5023357026826543,0.488363472225762
2024,11188,0.471548892380652,0.5118995223102968,0.5047288667177816,0.5083694141808327
2025,13708,0.5049216563354219,0.49653909543808206,0.4786628084043507,0.4759888408247917
2026,8736,0.5221278838836454,0.4877946759167975,0.5104452551896691,0.5127017994880181
