,n,roc_auc,pr_auc,log_loss,brier,accuracy
base_rf,95978.0,0.5137846074495449,0.4767579327517168,0.6956633938877342,0.2511524880720854,0.5244326824897372
base_lr,95978.0,0.5202572955391795,0.48435626066454246,0.6918177741687935,0.24932439718880625,0.5298714288691159
struct_rf,95978.0,0.5232225609562866,0.4851451516048985,0.6918842937014925,0.2493525359616572,0.5287461709975203
struct_lr,95978.0,0.5194875316514693,0.480314585437269,0.6926246153451575,0.24967273488502045,0.5283294088228553
