metric,LR,RF
log_loss,0.6916074481932207,0.6983911382664196
brier,0.2492228069252596,0.2525183192633639
roc_auc,0.5228001847500267,0.5043998141385545
pr_auc,0.4866010762842687,0.4708554680600051
accuracy,0.5300277146846152,0.4977703223655421
precision,0.6229508196721312,0.47092024539877303
recall,0.0008421612517175658,0.5528788617525819
f1,0.0016820485580860058,0.5086190199496416
n,95978.0,95978.0
