feature,importance,rank,permutation_importance_mean,permutation_importance_std
stay_prob,0.5344452810365818,1,0.029252782193958653,0.009610226556252717
log1p_duration,0.23053674669478919,2,0.021542130365659776,0.00989626230671421
margin,0.12381292772459668,3,0.00715421303656599,0.009167378851089676
confidence,0.11120504454403236,4,-0.0035771065182829964,0.008559624938282573
