fold,n,lr_logloss,rf_logloss,lr_brier,rf_brier,lr_auc,rf_auc
1,1768,0.6687986404137333,0.6955692726368387,0.23790795934946493,0.2511699751209228,0.5575367647058824,0.5203449394463668
2,1228,0.6695314348915703,0.7043482637732287,0.23830230275764513,0.2554927818306208,0.5163598326359833,0.5022691771269178
3,705,0.7044020326438392,0.6931476978498206,0.25548529230678907,0.249971416294155,0.5036730945821855,0.5346164999275047
4,827,0.6846383763242931,0.6877213883640684,0.245703204551031,0.24731403210415176,0.45315201729106636,0.5241984870317004
5,1557,0.6867449001493225,0.7021484344214965,0.24678883262555967,0.25441383688799596,0.5040499131682524,0.4720227438832231
6,510,0.6472509697208524,0.6971222894161154,0.2272375373916363,0.25195751875767974,0.5412091334602858,0.51212870846607
7,260,0.6916201418744329,0.7203919065007962,0.24917857736877538,0.26341085443270906,0.4592911877394636,0.401370929118774
8,2091,0.6898529735941568,0.6920764557673037,0.24834012501163696,0.24946406824905082,0.535199766480319,0.5182589666754113
9,3548,0.6817987317762693,0.7025359672068181,0.24435979269932226,0.25461634512800874,0.5430736930846364,0.5002109222376239
10,415,0.6508003598294058,0.6910791638774576,0.22898493330915543,0.24899981064598878,0.5443811933375502,0.5787871600253005
11,64,0.6717147674010304,0.6919265092931979,0.23948322915479048,0.24950673150319386,0.6416416416416416,0.43593593593593594
12,246,0.6871708523393797,0.683242200420504,0.24708371617257313,0.24518973912864442,0.6589522546419099,0.5645225464190983
13,191,0.635610311851639,0.6663493841175765,0.22164143794163282,0.23676906413411206,0.6568702290076336,0.5875954198473283
14,549,0.6866271724766155,0.6861542047667938,0.24676290193571726,0.24647534274329433,0.580582329317269,0.5496050870147255
15,748,0.7334098376880661,0.7300783521798199,0.26930053120211883,0.2679388961503807,0.4316959816959817,0.43884241384241385
16,889,0.6690662347884117,0.693955739751346,0.23802344066116457,0.25039912828869887,0.5409973981851804,0.542024147421838
17,228,0.6951924590379145,0.7013863676436085,0.25095211505910486,0.25411184661638775,0.3916504854368932,0.5003883495145631
18,183,0.6903017389594425,0.6960958125540341,0.24854545838279563,0.25147952479676533,0.49213265553134833,0.5364923747276689
19,233,0.6759270840587365,0.7021341152971873,0.2414678005523641,0.2544362813787073,0.5926318981200728,0.4794951485748939
20,181,0.6842045411025279,0.6915896354150456,0.24552934918769184,0.2492339513388717,0.4826362957430918,0.5108289768483943
21,111,0.7113867497468702,0.6937733092644531,0.2589853731734595,0.25029123291107563,0.4045454545454546,0.5561688311688312
22,115,0.684546443059108,0.6958731499322087,0.24566574748154354,0.251362973129357,0.3016270337922403,0.5652377972465582
23,98,0.7114448202263052,0.6882407984885323,0.25905377869554375,0.24755211847433084,0.5056320400500627,0.5396328744263663
24,1703,0.7018791063892644,0.7355618275082211,0.2542906294146141,0.2699779339965888,0.5668366839996025,0.43374085052826816
25,310,0.6890942355861626,0.7012215789057096,0.24797259368150404,0.2539924774941698,0.47331058308055285,0.565659757330637
26,259,0.6867953955678116,0.7063503619323652,0.24680678902363504,0.2565361520088018,0.3873394495412844,0.5386850152905199
27,65,0.7224027152970063,0.6942292835774565,0.2645352977755467,0.25050031013969415,0.4093567251461988,0.44395711500974655
28,59,0.7218159034355571,0.7146637237455897,0.2642394683842737,0.26066723484000387,0.4363095238095238,0.2702380952380953
29,77,0.6154872765471441,0.7565577178402922,0.21133493490976218,0.28161090320400173,0.8485074626865672,0.4134328358208955
30,99,0.6481815360883562,0.7043276038987986,0.22760870714738016,0.25558549334292974,0.4344135802469135,0.37577160493827166
31,46,0.6451423534442428,0.7072144384770876,0.22610207329364074,0.25702689580151117,0.6433823529411765,0.5392156862745098
