condition,n,auc,hit_rate
Uptrend,31369,0.5254703467973593,0.5134687111479486
Downtrend,31429,0.5158915642277591,0.5267746348913424
state_0,31369,0.5254703467973593,0.5134687111479486
state_2,31429,0.5158915642277591,0.5267746348913424
