condition,n,auc,hit_rate
Uptrend,31686,0.524119644712507,0.5135391024427192
Downtrend,31993,0.5165643608678495,0.5272403338230238
state_0,31686,0.524119644712507,0.5135391024427192
state_2,31993,0.5165643608678495,0.5272403338230238
