state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
0,5m,184843,-1.1589450243885589e-06,0.0,0.00066528250434734,0.49597766753406947,0.0002975498125436181,0.0003245997955021288,C,6,Ranging / Low-Vol
0,15m,184836,-1.834249704709465e-06,-3.570377676176406e-06,0.0012640332202160604,0.49677551992036184,0.00272133134237919,0.002580666104005713,C,6,Ranging / Low-Vol
0,30m,184827,5.118684985629851e-06,1.553120725361623e-07,0.0019195094024945642,0.5000838622062794,0.01022036823624254,0.009408798498054937,C,6,Ranging / Low-Vol
0,1h,184806,1.8780673609559367e-05,8.478355280061578e-06,0.0029212154830652198,0.5021265543326515,0.02907914245208489,0.028056448383710485,C,6,Ranging / Low-Vol
0,2h,184781,2.5263086833778796e-05,1.2865988335164502e-05,0.00453364211622236,0.5021079007040767,0.0686001266363966,0.06734999810586587,C,6,Ranging / Low-Vol
0,4h,184709,3.5262077348159936e-05,5.111161827642263e-05,0.007090606643248747,0.5061854051508048,0.12896502065410997,0.1250345137486533,C,6,Ranging / Low-Vol
1,5m,198638,5.4977317724639945e-05,1.6061091228536384e-05,0.0012815340230760972,0.5072392996304836,0.003846192571411311,0.0014599422064257594,C,6,Ranging / Low-Vol
1,15m,198618,6.528728214431313e-05,-2.718564229464704e-05,0.0023132131176157853,0.4928707367912274,0.020803753939723488,0.012028114269602956,C,6,Ranging / Low-Vol
1,30m,198590,6.400535564854651e-05,-9.075682413062225e-05,0.003399517138221875,0.4840777481242761,0.049655068231028755,0.03721738254695604,C,6,Ranging / Low-Vol
1,1h,198547,6.532451303421739e-05,-0.0001484938483855558,0.005107038586733836,0.4807325217706639,0.09549879877308648,0.0866444720897319,C,6,Ranging / Low-Vol
1,2h,198472,8.198210256995588e-05,-0.0001959194269662845,0.007443607477537218,0.4819571526462171,0.1553670039098714,0.15357330001209238,C,6,Ranging / Low-Vol
1,4h,198319,0.00023315473567059902,-0.000134736926355572,0.010985977880159762,0.49125398978413565,0.2312486448600487,0.22490028691149108,C,6,Ranging / Low-Vol
2,5m,181008,-5.8228463223224094e-05,-1.2993798585547722e-05,0.0013498442650359773,0.49339255723503933,0.0015026960134358702,0.004336824891717493,C,6,Ranging / Low-Vol
2,15m,180994,-6.355469319567604e-05,6.708841772873342e-05,0.0023944221616886067,0.5146689945523056,0.012033548073416798,0.024586450379570593,C,6,Ranging / Low-Vol
2,30m,180972,-6.579832230111422e-05,0.00016185234576227003,0.00346841459191618,0.5270207545918706,0.03732069049355701,0.055505824105386466,C,6,Ranging / Low-Vol
2,1h,180926,-5.472580597641929e-05,0.00027048165866272456,0.005055089142098777,0.532941644650299,0.09003681062976024,0.1018869593093309,C,6,Ranging / Low-Vol
2,2h,180852,-3.2443705717937085e-05,0.0004201048492191717,0.007442567264139115,0.5382633313427554,0.16104328401123572,0.15963329131002146,C,6,Ranging / Low-Vol
2,4h,180742,-5.357937284565515e-05,0.00047935201696258645,0.010764264110313096,0.531265560854699,0.23678503059609832,0.2253765035243607,C,6,Ranging / Low-Vol
3,5m,140949,-7.86366581064092e-05,1.3641141141107482e-06,0.0024843101551321194,0.5004505175630902,0.01719061504515818,0.026924632313815637,C,6,Downtrend / High-Vol
3,15m,140918,-0.00013352668266610233,0.00010907592058195803,0.0042983947906916845,0.5140010502561774,0.07235413502888205,0.0917767779843597,C,6,Downtrend / High-Vol
3,30m,140869,-0.0001431884680407888,0.000282651791160049,0.006161078513239847,0.5273764987328653,0.13460733021459653,0.14438946822934784,C,6,Downtrend / High-Vol
3,1h,140757,-0.0001354630786494285,0.000552756516400521,0.008752756770306359,0.5394474164695184,0.21103746172481652,0.19897411851630825,C,6,Downtrend / High-Vol
3,2h,140613,-0.00011421553492956492,0.0009136925583934641,0.012349863308560602,0.5492379794186881,0.287085831324273,0.2452902647692603,C,6,Downtrend / High-Vol
3,4h,140311,-0.00011453149991533671,0.0012814388312740732,0.016910794071833917,0.5530072481843904,0.35012935550313234,0.2877963951507722,C,6,Downtrend / High-Vol
4,5m,68874,2.4190102443113458e-05,1.2243677263157338e-06,0.006139555434118544,0.5003194238754828,0.13597293608618638,0.13264802392775213,C,6,Ranging / High-Vol
4,15m,68843,9.063746224038196e-05,0.00012739889962176676,0.009865196517165477,0.5088970556193076,0.23300843949275887,0.2225643856310736,C,6,Ranging / High-Vol
4,30m,68800,0.00017687920163944035,0.0002866110302868208,0.01329198548291766,0.5151017441860465,0.29155523255813953,0.26898255813953487,C,6,Ranging / High-Vol
4,1h,68718,0.00033271367875064515,0.0005890666703098901,0.017594471167629782,0.5235600570447335,0.34119153642422656,0.30341395267615473,C,6,Ranging / High-Vol
4,2h,68538,0.0005931446852989025,0.0009228144832738039,0.02286154369274931,0.5260731273162333,0.3833493828241268,0.3363681461379089,C,6,Ranging / High-Vol
4,4h,68209,0.0008078423622245101,0.0013554343848376504,0.030041232321131553,0.5296808339075488,0.41943145332727355,0.365743523581932,C,6,Ranging / High-Vol
5,5m,142930,8.169002492720026e-05,7.620119259144076e-06,0.002333125386833321,0.5035751766599035,0.021639963618554536,0.014930385503393269,C,6,Uptrend / Mid-Vol
5,15m,142900,0.0001309682769388352,-5.496435956153789e-06,0.00401744489793289,0.49807557732680197,0.08082575227431771,0.0631000699790063,C,6,Uptrend / Mid-Vol
5,30m,142853,0.00014480199261069143,-7.730072776546137e-05,0.005737465550249182,0.491624257103456,0.1341238895927982,0.12071850083652426,C,6,Uptrend / Mid-Vol
5,1h,142769,0.00012942686573550225,-0.00019175625788747652,0.00819251832404873,0.4844959339912726,0.19275893226120516,0.18991517766461907,C,6,Uptrend / Mid-Vol
5,2h,142527,0.00014513905207158695,-0.00029514792562146397,0.011701301006887361,0.4834241933107411,0.25233815347267535,0.258512422207722,C,6,Uptrend / Mid-Vol
5,4h,142126,0.00029449302413911166,-0.0003747161364868745,0.01622216683493619,0.4841900848542842,0.3073962540281159,0.31416489593740765,C,6,Uptrend / Mid-Vol
