timeframe,n_states_model,state,regime,trend_score,vol_score,n_segments,n_bars,pct_bars,mean_duration_minutes,median_duration_minutes,max_duration_minutes,stay_prob
15m,4,0,Ranging / Low-Vol,0.005351963499197851,-0.5324342403286296,11334,111115,35.87583664007284,147.05532027527792,75.0,3225.0,0.8945479656586904
15m,4,1,Ranging / High-Vol,-0.0665311400328225,1.4337868540970824,5186,47469,15.326374382105184,137.29946008484382,60.0,9630.0,0.8889482580459998
15m,4,2,Uptrend / Mid-Vol,0.37294396403383606,-0.0611626358833647,14368,77623,25.06223342944134,81.03737472160357,60.0,690.0,0.8099536181360609
15m,4,3,Downtrend / Mid-Vol,-0.3587542918995526,-0.059198693011936705,14629,73514,23.73555554838064,75.37835805591634,60.0,630.0,0.7961390079887055
