state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
0,5m,169924,8.20059705011784e-05,5.233447462060781e-06,0.0022576679054965116,0.502736517501942,0.02052682375650291,0.01317059391257268,A,6,Uptrend / Mid-Vol
0,15m,169855,0.00011087920323673656,-1.6659317216394243e-05,0.003937776853227247,0.49620558711842455,0.07838450443024933,0.06318330340584616,A,6,Uptrend / Mid-Vol
0,30m,169749,0.00010408815837149692,-6.499046682861831e-05,0.0056822743662794965,0.4929867038981084,0.13227176596032966,0.12183871480833466,A,6,Uptrend / Mid-Vol
0,1h,169569,6.635307182866787e-05,-0.0001378836407663897,0.008180546442053608,0.48866832970649116,0.19329594442380388,0.19080728199140173,A,6,Uptrend / Mid-Vol
0,2h,169232,4.331504157334542e-05,-0.00013330513177933767,0.01182760167847225,0.49279096152027985,0.2568840408433393,0.25760494469131134,A,6,Uptrend / Mid-Vol
0,4h,168638,0.00020767412639138892,9.602940995279141e-06,0.016450509126673427,0.5006878639452556,0.3172653850259135,0.30654419525848264,A,6,Uptrend / Mid-Vol
1,5m,71146,4.831347767161925e-05,1.2376734632724151e-06,0.0061395731760586734,0.5003654457032018,0.1377589745031344,0.13220701093525988,A,6,Ranging / High-Vol
1,15m,71096,0.0001127562985112331,0.00010914811393547552,0.009826740503899322,0.508087656126927,0.23216496005401147,0.21885900753910206,A,6,Ranging / High-Vol
1,30m,71018,0.0001947262713714125,0.00026252698229800586,0.013226872699035351,0.5138697231687741,0.29027852093835366,0.2657636092258301,A,6,Ranging / High-Vol
1,1h,70869,0.00035545324614078824,0.0005848993972570327,0.017555081331046198,0.5233741127996726,0.3414327844332501,0.30303799968956807,A,6,Ranging / High-Vol
1,2h,70562,0.0005915624333628718,0.0008505939345750946,0.02283277595632939,0.523737989286018,0.3832516085144979,0.3378730761599728,A,6,Ranging / High-Vol
1,4h,70039,0.000809719834918306,0.0012609817927842215,0.0297490494254823,0.5272205485515213,0.4183383543454361,0.3678950299119062,A,6,Ranging / High-Vol
2,5m,183254,5.3605680246670644e-05,1.691386457558508e-05,0.001276977107790709,0.5074977899527432,0.0037816364172132667,0.0013533128881224967,A,6,Ranging / Low-Vol
