horizon,n,pearson_corr_mtf_score_vs_fwd_ret
15m,309660,0.015219707844238697
30m,309618,0.01121426821516193
1h,309534,0.005609815107220705
2h,309366,0.0005447894708431862
4h,309030,0.004080768148319081
