timeframe,n_states_model,state,regime,trend_score,vol_score,n_segments,n_bars,pct_bars,mean_duration_minutes,median_duration_minutes,max_duration_minutes,stay_prob
30m,4,0,Ranging / Low-Vol,-0.02008473502150456,-0.3410791279111776,36493,55611,35.95763528323969,45.716438769079,30.0,240.0,0.34359133357404104
30m,4,1,Uptrend / High-Vol,0.9633651250506954,0.5702921389887979,3338,15989,10.338361664845431,143.69982025164768,120.0,1410.0,0.7874860391632126
30m,4,2,Ranging / Mid-Vol,-0.005134437033512131,-0.2884178170854349,38000,64407,41.64505971278377,50.84763157894737,30.0,270.0,0.4098876116344713
30m,4,3,Downtrend / High-Vol,-0.7491443818781737,1.5266143466287974,2773,18650,12.058943339131108,201.76703930760908,120.0,5550.0,0.8482169292434257
