seed,ll,error,runtime_s,converged,n_iter_run
42,-16117494.825494133,,295.9404807090759,True,52
46,-16117494.821967307,,298.9800639152527,True,53
43,-16117494.823794032,,301.27621030807495,True,54
45,-16117494.822999861,,320.09617376327515,True,62
44,-16117494.82277842,,355.13625502586365,True,77
