config,n_states_model,state,regime,n_segments,n_bars,pct_bars,mean_duration_bars,median_duration_bars,max_duration_bars,stay_prob
A,4,0,Uptrend / Mid-Vol,30912,236075,25.555714325922363,7.637001811594203,5.0,81,0.8624510567867736
A,4,1,Ranging / Low-Vol,18686,334490,36.20938635974911,17.900567269613614,8.0,683,0.9409201533985913
A,4,2,Downtrend / Mid-Vol,30683,215611,23.340434698830656,7.02705080989473,5.0,67,0.8504764103902828
A,4,3,Ranging / High-Vol,8509,137590,14.894464615497865,16.169937713009755,5.0,1305,0.9361662242230573
