state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Ranging / Low-Vol,30m,55607,1.90300311256391e-05,4.5873018281739064e-05,0.0037330819118795576,0.5080655313179996
0,Ranging / Low-Vol,1h,55599,7.242643826186721e-06,5.677512362467496e-05,0.005428862254332812,0.5084084246119535
0,Ranging / Low-Vol,2h,55575,4.753458646083884e-05,0.00010845228385214511,0.00783251680274324,0.5109851551956816
0,Ranging / Low-Vol,4h,55537,0.00015269001340920932,0.00015022334986980468,0.011309952453885821,0.5112267497344113
0,Ranging / Low-Vol,8h,55454,0.0002689824807804309,0.00031037062992567144,0.0162685398127506,0.5166444260107477
1,Uptrend / High-Vol,30m,15984,0.0003458554252652191,8.266080443686263e-05,0.006677135067589766,0.5071321321321322
1,Uptrend / High-Vol,1h,15980,0.0003723059599460342,-0.0001196697632357413,0.009358053000708907,0.49111389236545683
1,Uptrend / High-Vol,2h,15974,0.00027873143644052597,-0.0001906864425906818,0.013065695465661623,0.48916990108927005
1,Uptrend / High-Vol,4h,15952,0.00032645954501283204,-0.00030992924989181603,0.0180343428873727,0.4872743229689067
1,Uptrend / High-Vol,8h,15925,0.00045960777876504443,-5.60620262533007e-05,0.024323720922819397,0.498021978021978
2,Ranging / Mid-Vol,30m,64391,-2.1059026404052287e-05,1.7948648915577792e-05,0.0035664509180840668,0.5035486325728751
2,Ranging / Mid-Vol,1h,64379,3.6707322353219437e-06,5.979962988078569e-05,0.00522760769702642,0.5085353919756442
2,Ranging / Mid-Vol,2h,64362,2.3405353609592498e-05,0.00011134418059377538,0.007663956101241434,0.5110158167863025
2,Ranging / Mid-Vol,4h,64316,7.602987684817446e-05,0.00019045833995168238,0.01099055999412037,0.514304372162448
2,Ranging / Mid-Vol,8h,64221,0.0002294875641631627,0.00026363701010545526,0.016072458538198123,0.5144423163762633
3,Downtrend / High-Vol,30m,18644,-0.0001480032972163351,0.00024286903718095942,0.011387501646387386,0.5141600514910963
3,Downtrend / High-Vol,1h,18637,-8.958924090488756e-05,0.0005809402276906184,0.015327250899157272,0.526533240328379
3,Downtrend / High-Vol,2h,18622,6.374759448647446e-05,0.0010677943525019273,0.020152059246791598,0.5360863494791107
3,Downtrend / High-Vol,4h,18604,4.5030559918497723e-05,0.0014155821399119972,0.026538959401353222,0.5370887981079338
3,Downtrend / High-Vol,8h,18561,6.000721032745178e-05,0.0018694369827088053,0.03479158733024264,0.5366090189106191
