timeframe,n_states_model,state,regime,trend_score,vol_score,n_segments,n_bars,pct_bars,mean_duration_minutes,median_duration_minutes,max_duration_minutes,stay_prob
5m,4,0,Uptrend / Mid-Vol,0.34314230378578214,-0.03936831008163876,30912,236075,25.555714325922363,38.185009057971016,25.0,405.0,0.8624510567867736
5m,4,1,Ranging / Low-Vol,0.00629563043487513,-0.566852489956532,18686,334490,36.20938635974911,89.50283634806807,40.0,3415.0,0.9409201533985913
5m,4,2,Downtrend / Mid-Vol,-0.343586632069575,-0.0573202322374611,30683,215611,23.340434698830656,35.13525404947365,25.0,335.0,0.8504764103902828
5m,4,3,Ranging / High-Vol,-0.06571164624041116,1.531946018056,8509,137590,14.894464615497865,80.84968856504877,25.0,6525.0,0.9361662242230573
