state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
0,5m,236044,7.434875987970613e-05,1.2075786952614465e-05,0.001787072598945694,0.5048931555133789,0.0105785362051143,0.0055371032519360795,A,4,Uptrend / Mid-Vol
0,15m,235987,9.416208253326069e-05,-3.559850084577931e-05,0.0031577825531093374,0.49287036997800726,0.04723565281138368,0.033760334255700526,A,4,Uptrend / Mid-Vol
0,30m,235901,0.00010258494160330369,-9.981644764600617e-05,0.004551140689173144,0.48691612159338027,0.0907287379027643,0.07662536402982607,A,4,Uptrend / Mid-Vol
0,1h,235758,9.379083664528614e-05,-0.000166678095074424,0.006665326349270667,0.48323704815955343,0.14674793644330203,0.14025823089778502,A,4,Uptrend / Mid-Vol
0,2h,235535,9.214116244869059e-05,-0.0002166730443953213,0.00965680301184488,0.48514233553399705,0.21000275967478294,0.2111490861230815,A,4,Uptrend / Mid-Vol
0,4h,235085,0.0002987462287859417,-5.7383261795607154e-05,0.01362378178770838,0.4968075376991301,0.2793585298934428,0.27125933173107597,A,4,Uptrend / Mid-Vol
1,5m,334481,5.293577189386243e-07,0.0,0.0008440035515983188,0.498605301945402,0.0006756736556037563,0.0006906221878073792,A,4,Ranging / Low-Vol
1,15m,334463,-1.6815687941878014e-06,-9.260876865369028e-08,0.0016115357933361482,0.4991224739358315,0.005471457231442641,0.005659818873836568,A,4,Ranging / Low-Vol
1,30m,334442,-1.912861618628511e-06,2.3966202560288252e-06,0.0024332636807221893,0.5007714342098182,0.017997141507346565,0.01842471938333104,A,4,Ranging / Low-Vol
1,1h,334405,5.537994628928931e-06,1.1434505491791924e-05,0.003658813947321107,0.5023758616049401,0.046228375771893364,0.046380885453267746,A,4,Ranging / Low-Vol
1,2h,334316,1.1137192114968218e-05,2.5819594288378767e-05,0.005527812415434312,0.5035714713025999,0.09393208820397468,0.0937855202861963,A,4,Ranging / Low-Vol
1,4h,334129,4.2207374753600166e-05,5.863180497023279e-05,0.008294008713976798,0.5058345728745485,0.16218286949052613,0.1569962499513661,A,4,Ranging / Low-Vol
2,5m,215587,-8.253519240112259e-05,-8.320609735434914e-06,0.0018718242261752422,0.49561893806212803,0.005315719407942037,0.012459007268527323,A,4,Downtrend / Mid-Vol
2,15m,215534,-0.00010252598190701738,9.965047455917642e-05,0.0032577934105944605,0.5166934219195115,0.03389720415340503,0.05322130151159446,A,4,Downtrend / Mid-Vol
2,30m,215468,-0.00010076507548682733,0.000226567653864862,0.004702279685606853,0.5289184472868361,0.07805335363023744,0.09678931442255927,A,4,Downtrend / Mid-Vol
2,1h,215318,-7.15652934290777e-05,0.0003988377417778466,0.00674532829611544,0.5375444691108036,0.14588190490344513,0.14851521934998468,A,4,Downtrend / Mid-Vol
2,2h,215118,-2.4302151404349296e-05,0.000584700420665385,0.009641784381977016,0.5418003142461347,0.22151563328033916,0.20321869857473573,A,4,Downtrend / Mid-Vol
2,4h,214747,-5.5257395955559644e-05,0.0006852272558504069,0.013505544749805082,0.5353462446506819,0.2890052014696364,0.2617917828887016,A,4,Downtrend / Mid-Vol
3,5m,137540,1.9183292343376506e-05,4.576912893128338e-06,0.004934991444376743,0.5023484077359314,0.09147884251854006,0.09048276864912026,A,4,Ranging / High-Vol
3,15m,137442,5.8965280208578565e-05,0.00011782804513682521,0.007987300052355368,0.5105135257053884,0.18329913709055456,0.1750556598419697,A,4,Ranging / High-Vol
3,30m,137287,9.724194059003317e-05,0.00024579493905463323,0.010864833983167368,0.5159046377297195,0.24502684158004764,0.2276253396170067,A,4,Ranging / High-Vol
3,1h,136999,0.0001609264200782057,0.0004043514567726447,0.014584012436283067,0.5195658362469799,0.30203870101241614,0.27411878918824223,A,4,Ranging / High-Vol
3,2h,136410,0.00031002071503026583,0.0007433752994847609,0.019313467910897324,0.5252840700828385,0.355721721281431,0.3151601788725167,A,4,Ranging / High-Vol
3,4h,135490,0.00039713021141553735,0.0009827549284402437,0.025723784424868654,0.5257288360764633,0.39635397446306,0.3514502915344306,A,4,Ranging / High-Vol
