seed,ll,error,runtime_s,converged,n_iter_run
44,-15873242.452646162,,599.5241720676422,True,61
43,-15873244.001310108,,806.646475315094,True,100
42,-15873562.667010937,,820.3354570865631,True,100
45,-15873562.819758262,,835.1390419006348,True,100
46,-15873242.565534126,,841.2535984516144,True,100
