state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Downtrend / High-Vol,30m,15470,-0.0002583960007938636,0.000250658407866311,0.007283692423487125,0.5200387847446671
0,Downtrend / High-Vol,1h,15463,-0.00028938618449436015,0.0005655390306689156,0.010315494342436136,0.5330142921813361
0,Downtrend / High-Vol,2h,15452,-0.0002448448731755087,0.0009737511899770013,0.014111896858888508,0.5436836655449133
0,Downtrend / High-Vol,4h,15439,-0.00030621620003448344,0.0013947728541285898,0.019054106902475075,0.5488049744154414
0,Downtrend / High-Vol,8h,15410,-0.0005746181515758059,0.0016780054858740456,0.02568432119460923,0.5443218689162881
1,Ranging / Low-Vol,30m,47388,2.982365102798011e-05,5.6835353285933365e-05,0.003817372232314514,0.5083987507385836
1,Ranging / Low-Vol,1h,47381,2.459694525431676e-05,5.70170890288324e-05,0.005553796641457816,0.5070597918997066
1,Ranging / Low-Vol,2h,47358,5.8811634909956285e-05,0.00011001931767928852,0.007980481841095729,0.5102200261835381
1,Ranging / Low-Vol,4h,47321,0.00018337957449774002,0.00015880900819809085,0.011593883694757542,0.5106823608968534
1,Ranging / Low-Vol,8h,47243,0.00034523083313846054,0.00033139803101356335,0.01667993220504568,0.5160976229282646
2,Ranging / Low-Vol,30m,12696,-1.6529201341070737e-07,-3.3564728472157412e-06,0.0013782637017220932,0.4966918714555766
2,Ranging / Low-Vol,1h,12696,2.3670740799337122e-06,-8.356902601036609e-07,0.002125289660756379,0.49936988027725265
2,Ranging / Low-Vol,2h,12696,1.4043622897636002e-05,4.049211561607535e-06,0.0033630297579269487,0.5007088846880907
2,Ranging / Low-Vol,4h,12696,5.333918493010809e-05,7.796976348561913e-05,0.005443290838780308,0.5108695652173914
2,Ranging / Low-Vol,8h,12693,5.994199681706401e-05,0.0001120732340140762,0.009139542048744315,0.511463011108485
3,Ranging / Mid-Vol,30m,55429,-1.0874160652957293e-05,2.7747481325945955e-05,0.003625709133048295,0.5045373360515254
3,Ranging / Mid-Vol,1h,55418,1.7883778331042e-05,7.48339565577183e-05,0.005329959772166906,0.5095817243494893
3,Ranging / Mid-Vol,2h,55401,3.881929964377479e-05,0.00012775013085430942,0.00783045716226107,0.5112362592732983
3,Ranging / Mid-Vol,4h,55359,9.656114220681052e-05,0.00018350175775161404,0.011193678928240866,0.5122382991022236
3,Ranging / Mid-Vol,8h,55268,0.0002575937463958641,0.0002631223828739593,0.01639341344866866,0.512737931533618
4,Ranging / High-Vol,30m,7502,0.00011861138070374844,0.00023982325598215226,0.015259357289435505,0.5090642495334577
4,Ranging / High-Vol,1h,7500,0.00030190474397519035,0.0007271582972823154,0.020081166351139584,0.5228
4,Ranging / High-Vol,2h,7494,0.0005616609867029851,0.001107847804329154,0.025976225385635165,0.5268214571657326
4,Ranging / High-Vol,4h,7483,0.0005942286860402139,0.0011623677078418382,0.03394216568265363,0.5209140718962982
4,Ranging / High-Vol,8h,7466,0.0010854215896548927,0.0022690345163569603,0.04367051926159111,0.529199035628181
5,Uptrend / High-Vol,30m,16141,0.0002955265221064774,4.8579134988457895e-05,0.006647032017741103,0.5043058050926212
5,Uptrend / High-Vol,1h,16137,0.0003062964559535379,-0.0001378348416878339,0.009352789650351023,0.489496188882692
5,Uptrend / High-Vol,2h,16132,0.0002633177514149967,-0.0001900351929498001,0.013140375680123125,0.48927597322092736
5,Uptrend / High-Vol,4h,16111,0.0003100952938631564,-0.0003010294622587395,0.01806928919200076,0.487555086586804
5,Uptrend / High-Vol,8h,16081,0.00046831391027271244,-1.562972460966705e-05,0.02453269909320022,0.49922268515639573
