horizon,n,pearson_corr_mtf_score_vs_fwd_ret
15m,309660,0.01826657674358161
30m,309618,0.013337610739809963
1h,309534,0.007124972869812391
2h,309366,0.0024073855410099705
4h,309030,0.0034145507602235566
