seed,ll,error,runtime_s,converged,n_iter_run
44,-17523260.400568083,,261.1621720790863,True,52
45,-17523260.4220395,,306.98587703704834,True,64
46,-17523260.42286877,,323.0937879085541,True,68
42,-17523260.4657362,,419.2807312011719,True,100
43,-17523260.452983238,,420.6509850025177,True,100
