config,n_states_model,state,regime,n_segments,n_bars,pct_bars,mean_duration_bars,median_duration_bars,max_duration_bars,stay_prob
B,6,0,Uptrend / Mid-Vol,12703,149230,16.18216675992314,11.747618672754468,7.0,113,0.9111015556525696
B,6,1,Ranging / Low-Vol,23113,197759,21.444542761345843,8.556180504478,6.0,100,0.8774428792083128
B,6,2,Ranging / Low-Vol,13015,184417,19.99776618216676,14.169573568958894,7.0,632,0.9249975980889057
B,6,3,Ranging / Low-Vol,23027,191909,20.81018187180922,8.334086072870978,6.0,104,0.8743187994437803
B,6,4,Ranging / High-Vol,4522,66219,7.180639956277895,14.6437417072092,5.0,1050,0.9297653148377586
B,6,5,Downtrend / High-Vol,11692,132654,14.384702468477142,11.34570646595963,7.0,113,0.9079583113226185
