state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Ranging / Low-Vol,15m,62200,-4.272812092991214e-05,8.758917658280296e-05,0.002425645361639455,0.5177652733118971
0,Ranging / Low-Vol,30m,62191,-4.840116648608496e-05,0.0001982027626734606,0.003534273337822816,0.5303982891415157
0,Ranging / Low-Vol,1h,62177,-4.8570673748194074e-05,0.0003209752686377243,0.005167352486262721,0.5393955964424144
0,Ranging / Low-Vol,2h,62158,-3.0893178835615564e-05,0.000499182665209652,0.007533638287403002,0.5467196499243863
0,Ranging / Low-Vol,4h,62119,-1.810227337068928e-05,0.0006291283909565237,0.010770949948105082,0.5405431510487935
1,Ranging / Low-Vol,15m,70969,4.489566098142488e-05,-3.931580420157843e-05,0.002360585532054538,0.49074948216827063
1,Ranging / Low-Vol,30m,70965,4.917839777670754e-05,-9.818354534374407e-05,0.0034724918552846993,0.4830268442189812
1,Ranging / Low-Vol,1h,70956,4.5299329243444683e-05,-0.00018697427478109319,0.005191354523045197,0.476887084954056
1,Ranging / Low-Vol,2h,70927,5.345330970375966e-05,-0.00022847932082292743,0.00763881680163237,0.47949299984491095
1,Ranging / Low-Vol,4h,70878,0.00018866461363778854,-0.0002571850848687163,0.011331444873824413,0.4837890459663083
2,Ranging / High-Vol,15m,22111,3.1032102809808434e-05,7.550818505386303e-05,0.010121712216911518,0.5054045497716069
2,Ranging / High-Vol,30m,22105,0.0001000553999827762,0.0002370424118147696,0.01372534092490872,0.5110608459624519
2,Ranging / High-Vol,1h,22095,0.00027111225901310133,0.0005927614097025469,0.01811354886391223,0.5228332201855623
2,Ranging / High-Vol,2h,22066,0.0005875775523205932,0.0009694718594204232,0.02333844893008723,0.5279162512462612
2,Ranging / High-Vol,4h,22032,0.0006626033328918464,0.0013116788014864156,0.030276609046352293,0.5275962236746551
3,Ranging / Low-Vol,15m,61855,-3.5951121035486703e-06,-2.1896235935514596e-06,0.0012992759091934394,0.4977447255678603
3,Ranging / Low-Vol,30m,61852,-6.245368867697541e-06,-2.4029534619884885e-06,0.0019987346310765537,0.49846407553514843
3,Ranging / Low-Vol,1h,61844,6.101399446027602e-07,3.0933663941468126e-06,0.003056522139199501,0.5009378436064937
3,Ranging / Low-Vol,2h,61833,1.9553212522879094e-07,-1.951201378247447e-06,0.0046841388869505755,0.4994905632914463
3,Ranging / Low-Vol,4h,61805,3.46297312927604e-05,3.266484238650946e-05,0.007263134590280131,0.5038427311706173
4,Uptrend / High-Vol,15m,45339,0.00016879801851757133,-2.1565761855413257e-05,0.004163388871509158,0.49526897373122475
4,Uptrend / High-Vol,30m,45333,0.0001843826178494223,-6.42616441783872e-05,0.0059368633601327115,0.4928859771027728
4,Uptrend / High-Vol,1h,45318,0.00017384219971418758,-0.0002247170176730151,0.008455634013417332,0.48285449490268767
4,Uptrend / High-Vol,2h,45274,0.00012008995898160555,-0.00031807852851706286,0.012196427996168165,0.48332376198259486
4,Uptrend / High-Vol,4h,45170,0.00019749759668322465,-0.00038155724944566316,0.016730960926209282,0.484237325658623
5,Downtrend / High-Vol,15m,47205,-0.00012967835907062243,0.0001431293348161944,0.004383500385935558,0.5167249232072874
5,Downtrend / High-Vol,30m,47191,-0.00011930374828968394,0.00031648465227362976,0.00627738259690995,0.5285965544277511
5,Downtrend / High-Vol,1h,47163,-8.533509560561897e-05,0.0006318973937222694,0.008917321121183226,0.5441129699128554
5,Downtrend / High-Vol,2h,47127,-1.8008551868208953e-06,0.0010031073286143055,0.0124117424282414,0.5518916969041102
5,Downtrend / High-Vol,4h,47045,4.734094531891908e-05,0.0013298102257124356,0.01717686021286121,0.5544903815495802
