n_folds_compared,rf_beats_lr,lr_beats_rf,mean_delta_auc,median_delta_auc,std_delta_auc,min_delta_auc,max_delta_auc,pct_positive,config
93,48,45,0.0002072200030741391,0.002133300825892026,0.09619265985612055,-0.2544776119402984,0.32066276803118915,0.5161290322580645,RF-1
93,45,48,0.002038795162922399,-0.0013631605496963184,0.09580611346405632,-0.3141791044776119,0.260233918128655,0.4838709677419355,RF-2
93,48,45,0.002988507533034926,0.0033248681781558043,0.09499593681824114,-0.2723880597014924,0.2894736842105264,0.5161290322580645,RF-3
93,50,43,0.0034212160379492834,0.00780685723928376,0.09714399058799622,-0.3544776119402984,0.3101190476190476,0.5376344086021505,RF-4
93,50,43,0.004938574497048015,0.008891697980226043,0.09657824975564903,-0.3276119402985074,0.2684523809523809,0.5376344086021505,RF-5
93,49,44,0.00251464637438563,0.0046253738965492674,0.09866744736489284,-0.35746268656716407,0.25146198830409366,0.5268817204301075,RF-6
93,51,42,0.004172909940466317,0.007394940840473374,0.09924280390605857,-0.3843283582089551,0.25416666666666665,0.5483870967741935,RF-7
