fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
0,RF-5,0,,,,
1,RF-5,4184,1768.0,0.4805717468261719,0.6517332117443946,0.5055228157439446
2,RF-5,5952,1228.0,0.5282406806945801,0.6571750899756006,0.5710655509065551
3,RF-5,7180,705.0,0.6417233943939209,0.6641874379084122,0.5221916131007039
4,RF-5,7885,827.0,0.5566186904907227,0.668300692404139,0.5400096061479347
5,RF-5,8712,1557.0,0.6664280891418457,0.6704597686487589,0.544835690195053
6,RF-5,10269,510.0,0.6750292778015137,0.6686597338313249,0.515207602911602
7,RF-5,10779,260.0,0.6583042144775391,0.6658031513246295,0.5208931992337165
8,RF-5,11039,2091.0,0.736168622970581,0.663901665910596,0.5168239475910893
9,RF-5,13130,3548.0,0.8567736148834229,0.6592621467739644,0.5591919781457974
10,RF-5,16678,415.0,0.8692378997802734,0.6547573637715934,0.5517341345140208
11,RF-5,17093,64.0,0.921025276184082,0.6504781484181441,0.41841841841841837
12,RF-5,17157,246.0,0.9033095836639404,0.6516565442647386,0.6620689655172413
13,RF-5,17403,191.0,0.9549565315246582,0.653082176108492,0.5034351145038168
14,RF-5,17594,549.0,0.9034044742584229,0.6518090013681315,0.45999999999999996
15,RF-5,18143,748.0,0.9191427230834961,0.6518360706577144,0.4157371657371657
16,RF-5,18891,889.0,1.0324726104736328,0.6524240725248731,0.5623817356900185
17,RF-5,19780,228.0,0.9851498603820801,0.6533849670540766,0.3985242718446602
18,RF-5,20008,183.0,1.0006585121154785,0.6510231466534059,0.6522633744855968
19,RF-5,20191,233.0,1.0482323169708252,0.6510631549204678,0.5516979987871438
20,RF-5,20424,181.0,0.9994585514068604,0.6515600666085537,0.4616629325367189
21,RF-5,20605,111.0,0.998753547668457,0.6507846060637116,0.3279220779220779
22,RF-5,20716,115.0,1.1535487174987793,0.652648775605657,0.43147684605757197
23,RF-5,20831,98.0,1.0277161598205566,0.6516620001950333,0.5823946599916562
24,RF-5,20929,1703.0,1.0411217212677002,0.6513602411914459,0.5078660616699234
25,RF-5,22632,310.0,1.1287307739257812,0.6504160712011564,0.5361897539602292
26,RF-5,22942,259.0,1.4108245372772217,0.6489502239970311,0.5725382262996942
27,RF-5,23201,65.0,1.1234245300292969,0.648190251065832,0.6627680311890838
28,RF-5,23266,59.0,1.1816918849945068,0.6474192718324835,0.7035714285714285
29,RF-5,23325,77.0,1.2097585201263428,0.6472618875635109,0.517910447761194
30,RF-5,23402,99.0,1.1670689582824707,0.6469146657656412,0.5318930041152263
31,RF-5,23501,46.0,1.1683671474456787,0.6466672351246754,0.5196078431372549
32,RF-5,23547,299.0,1.1946687698364258,0.6463147261749607,0.6318157033805889
33,RF-5,23846,336.0,1.1666877269744873,0.6470795227113796,0.5511078011543474
34,RF-5,24182,2351.0,1.4344360828399658,0.6461854756572696,0.5244575248891796
35,RF-5,26533,1051.0,1.3216936588287354,0.6451520498532723,0.5578407475116798
36,RF-5,27584,292.0,1.3244552612304688,0.6453390043150293,0.44696634733480717
37,RF-5,27876,294.0,1.4143588542938232,0.6454649866910781,0.4337616528092719
38,RF-5,28170,1998.0,1.4449787139892578,0.6443374031647766,0.48669962057530175
39,RF-5,30168,714.0,1.6224913597106934,0.6477916276348787,0.570154427986133
40,RF-5,30882,195.0,1.5056548118591309,0.6500332331686818,0.5149459402162392
41,RF-5,31077,120.0,1.5199575424194336,0.6506707630069468,0.49143767423337315
42,RF-5,31197,326.0,1.6002371311187744,0.6515308539381857,0.505781683626272
43,RF-5,31523,2538.0,1.5756933689117432,0.650778822300192,0.5115417809814026
44,RF-5,34061,165.0,1.7002341747283936,0.642804046816094,0.40098566308243727
45,RF-5,34226,2834.0,1.7361845970153809,0.6405885189599734,0.4999834874504623
46,RF-5,37060,2574.0,1.913825511932373,0.6401635294542605,0.5507938689736229
47,RF-5,39634,2300.0,2.4029905796051025,0.6415246297223127,0.4966496234137363
