fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
0,RF-3,0,,,,
1,RF-3,4184,1768.0,0.5276992321014404,0.649338383736271,0.5058810012975778
2,RF-3,5952,1228.0,0.5761780738830566,0.6504885730436889,0.5683012552301256
3,RF-3,7180,705.0,0.6803669929504395,0.6559863342373046,0.5264527250173183
4,RF-3,7885,827.0,0.5913796424865723,0.6596789585093242,0.535981027857829
5,RF-3,8712,1557.0,0.6778860092163086,0.6553670123847979,0.5458012324073516
6,RF-3,10269,510.0,1.9984405040740967,0.648829219826863,0.5113278399686771
7,RF-3,10779,260.0,1.371079921722412,0.6471450869180309,0.522808908045977
8,RF-3,11039,2091.0,1.4363148212432861,0.644276592031062,0.5268252038678545
9,RF-3,13130,3548.0,0.8881521224975586,0.641132780849949,0.5508273955724163
10,RF-3,16678,415.0,0.8958165645599365,0.633971093043307,0.5600621969217795
11,RF-3,17093,64.0,1.0236763954162598,0.6285317054165938,0.42842842842842843
12,RF-3,17157,246.0,0.9282617568969727,0.6293022829796792,0.6555039787798409
13,RF-3,17403,191.0,1.2377424240112305,0.6309744376264844,0.5
14,RF-3,17594,549.0,0.9551093578338623,0.6302462963637534,0.4634404283801874
15,RF-3,18143,748.0,1.0916337966918945,0.6312016027708751,0.41392821392821394
16,RF-3,18891,889.0,1.1392261981964111,0.628727954215992,0.5694480282114136
17,RF-3,19780,228.0,0.9543764591217041,0.6289953056211439,0.39013592233009703
18,RF-3,20008,183.0,0.9891746044158936,0.626992910275408,0.6147421931735657
19,RF-3,20191,233.0,0.9441051483154297,0.6277153660953493,0.5472255912674348
20,RF-3,20424,181.0,1.1660151481628418,0.6266246744882112,0.4800846402788151
21,RF-3,20605,111.0,0.9581456184387207,0.6269817621808462,0.2922077922077922
22,RF-3,20716,115.0,1.0541856288909912,0.6280840381703594,0.43429286608260326
23,RF-3,20831,98.0,1.1180965900421143,0.6279362596226943,0.5853149770546516
24,RF-3,20929,1703.0,1.065272331237793,0.6273350423616926,0.5136662471433776
25,RF-3,22632,310.0,1.023819923400879,0.6247030550179032,0.5481125716211661
26,RF-3,22942,259.0,1.0815708637237549,0.6210345535583274,0.5971253822629969
27,RF-3,23201,65.0,1.2239627838134766,0.6201788103041572,0.6968810916179338
28,RF-3,23266,59.0,1.099621295928955,0.6206364278668817,0.6678571428571429
29,RF-3,23325,77.0,1.09588623046875,0.6216091905338781,0.573134328358209
30,RF-3,23402,99.0,1.1634128093719482,0.6193798193350901,0.5457818930041152
31,RF-3,23501,46.0,1.1030337810516357,0.6173946118751962,0.5196078431372548
32,RF-3,23547,299.0,1.1331143379211426,0.6174224838004481,0.6139131225009088
33,RF-3,23846,336.0,1.2716667652130127,0.6188548673116571,0.5601936324706758
34,RF-3,24182,2351.0,1.2411460876464844,0.6176828403236072,0.5256463919773272
35,RF-3,26533,1051.0,1.2250375747680664,0.6119147734122903,0.5566727605118831
36,RF-3,27584,292.0,1.363243818283081,0.6132797042535145,0.4327683615819209
37,RF-3,27876,294.0,1.257615327835083,0.6123235813134258,0.4392542202066012
38,RF-3,28170,1998.0,1.3686790466308594,0.6117927968301476,0.4836218595400335
39,RF-3,30168,714.0,1.3879194259643555,0.6145092467823845,0.558146864166404
40,RF-3,30882,195.0,1.4362454414367676,0.6166321893138605,0.4899300402798389
41,RF-3,31077,120.0,1.4211812019348145,0.6180078856907636,0.45400238948626054
42,RF-3,31197,326.0,1.625476598739624,0.6200556009062708,0.5075932778291705
43,RF-3,31523,2538.0,1.6271147727966309,0.6165883744354324,0.5183848466748332
44,RF-3,34061,165.0,2.5278213024139404,0.6049771233474266,0.3999402628434886
