config,max_depth,min_samples_leaf,min_samples_split,max_features,train_auc,train_oos_gap,n,roc_auc,pr_auc,log_loss,brier,accuracy,precision,recall,f1
"LR (baseline, 4 feat)",,,,,,,95978,0.5202572959749618,0.48435626198438253,0.6918177741687935,0.24932439718880625,0.5298714288691159,0.5,0.0037675634945259517,0.007478773481149091
"RF-current (unregularized, 19 feat)",8.0,50.0,100.0,sqrt,0.68823429639817,0.17787538588963192,95978,0.5232225609562866,0.4851451516048985,0.6918842937014925,0.2493525359616572,0.5287461709975203,0.4926370329970003,0.08007180532777802,0.13775354582888516
RF-1,3.0,100.0,200.0,sqrt,0.5796439713551789,0.07067624839041575,95978,0.5228687786072259,0.481797080625263,0.6912625690161406,0.24905845293742745,0.5292671237158515,0.47816265060240964,0.014072957758964584,0.027341227125941874
RF-2,5.0,100.0,200.0,sqrt,0.6160462535896538,0.10524695546504248,95978,0.5235663442833819,0.4836605461307528,0.6913151823514004,0.24908172446731053,0.5299443622496822,0.500979020979021,0.039692389521741055,0.07355689262172208
RF-3,5.0,250.0,500.0,sqrt,0.6056715200751901,0.09392250958046611,95978,0.5244076612071389,0.48451632383409676,0.6911770744946947,0.24901415966505508,0.5304444768592802,0.5100255195041925,0.031004831346128275,0.058456074375848745
RF-4,8.0,100.0,200.0,sqrt,0.6672276261325544,0.1550459071329161,95978,0.5233401214773836,0.4848798332016686,0.6917482679866661,0.24928684504483056,0.528641980453854,0.490937019969278,0.0708301936970879,0.1237991942981097
RF-5,8.0,250.0,500.0,sqrt,0.6363443832295281,0.12264530577079125,95978,0.5247965510396414,0.4851423945782798,0.6914237983304922,0.24913143017240738,0.5293504761507846,0.49458170784568706,0.05057399937946013,0.09176451664790092
RF-6,5.0,100.0,200.0,0.5,0.6171244838070827,0.10584933447100808,95978,0.5223025005906242,0.4834330144501134,0.6920668104036759,0.24944512339359043,0.5296943049448832,0.49876972065421915,0.07637072824786136,0.13245949530087833
RF-7,8.0,250.0,500.0,0.5,0.6440714003204482,0.13113798741829286,95978,0.522220354125728,0.48417279230655624,0.6925821148550433,0.24968629619982016,0.5281835420617225,0.49279102883588466,0.12271175923053056,0.19649384293268035
