config,delta_auc_vs_lr,train_oos_gap,worse_logloss,worse_brier,reject
RF-1,0.0026114826322640727,0.07067624839041575,False,False,True
RF-2,0.0033090483084200484,0.10524695546504248,False,False,True
RF-3,0.0041503652321770446,0.09392250958046611,False,False,False
RF-4,0.003082825502421782,0.1550459071329161,False,False,True
RF-5,0.004539255064679559,0.12264530577079125,False,False,True
RF-6,0.002045204615662377,0.10584933447100808,True,True,True
RF-7,0.0019630581507661393,0.13113798741829286,True,True,True
